"","S0","F0","L0","I0","J0","S1","F1","L1","I1","J1","N0","N1","cL0","cF0","cI0","cJ0","cL1","cF1","cI1","cJ1","cN0","cN1","LTBIEn","LTBIEnD","curedLTBIEn","curedLTBIEnD","natdeath0","natdeath1","tbdeath0","tbdeath1","tbdeathD0","tbdeathD1","progAcute0","progChron0","progAcute1","progChron1","progTotalD0","progTotalD1","exogenous0","exogenous1","interventionCost"
"47",335.534458517121,1.42560926601022e-11,0.331963837571849,0.000281088796003162,0.000115929277447639,56.6464346381292,6.35182577640699e-05,4.49421429637875,0.00248727140055409,0.00102582379796863,335.866819372782,61.1442255479588,1671331617.72029,10664820.9611011,756391776.229738,311958190.196475,4189280020.11816,9594097.16013995,1197869236.32668,494036464.69966,2750346405.10802,5890779818.3047,11.8293557278264,6.67634823919916,0,0,136.788888762059,32.0902647645925,0.010004272589494,0.0170964672629487,0.00750325709056469,0.0108252872099216,0.0201945352117997,0.0812158954431622,0.0192466101835817,0.171853035143714,0.0762295818326431,0.120721924596411,5.27406730885484e-05,0.000598273520679966,95684055.5757323
"48",337.834512716726,4.19550351851988e-12,0.313578431918339,0.000265521047687822,0.000109508680684812,57.2911590075246,6.39898623338028e-05,4.51512814681152,0.00249853455750466,0.00103046905479006,338.148466178379,61.8098801478053,1674684029.1911,10664820.9653367,757558227.36053,312439268.911435,4236072881.71236,9609212.9130405,1209745617.00322,498934633.001283,2755346346.42881,5954362344.62997,12.1274209848951,6.77328770267343,0,0,140.245361133331,33.0182180898256,0.010039777258772,0.0174203981658544,0.0075148057763004,0.0109306395628531,0.0201945352171724,0.081577302106714,0.0193231147168931,0.17545671138377,0.0763471374231754,0.121918832813963,5.27406730885484e-05,0.000598273520679966,96998519.3838161
"49",340.152641208082,-6.96882126683685e-12,0.29621130485332,0.000250815522716792,0.000103443690160029,57.9367536879782,6.44648020957406e-05,4.53693944399923,0.0025103109264616,0.00103532597532032,340.449206772143,62.4773032336759,1677776746.42006,10664820.978646,758634319.617442,312883080.972196,4281988937.22264,9624085.01738109,1221400104.33621,503741285.969125,2759958967.98876,6016754412.54541,12.4276986157676,6.86866443841736,0,0,143.725332836307,33.9562323078543,0.0100733154962803,0.0177458262048742,0.00752545984302331,0.0110340053391638,0.0201945352231345,0.0819186922052704,0.0194001871890201,0.179077480007244,0.0764555865963892,0.123093378497544,5.27406730885484e-05,0.000598273520679966,98281514.2406114
"50",342.489005553518,3.97385247388996e-13,0.279806060544465,0.000236924454900592,9.77146056934617e-05,58.5833136348209,6.49431254295813e-05,4.55960984935255,0.00252257826969223,0.00104038538806516,342.769146253126,63.1465513909512,1680629883.95711,10664820.9808937,759627051.404926,313292512.726356,4327052312.7851,9638717.34154673,1232838757.6096,508458922.629903,2764214269.0697,6077988710.36621,12.7302042858211,6.96250340407516,0,0,147.229000242486,34.9043345401394,0.0101049962106572,0.0180728166099406,0.00753528858557168,0.0111354400911167,0.0201945352192007,0.082241174326261,0.0194778316082513,0.182716043470765,0.0765556346553582,0.124246172305147,5.27406730885484e-05,0.000598273520679966,99534356.107183
"51",344.843765471262,8.24753829829985e-12,0.264309401252087,0.000223802726800229,9.23028195277808e-05,59.2309312183441,6.54248391319536e-05,4.58310340730863,0.00253531575659358,0.00104563870187193,345.108390978071,63.8176810049449,1683262017.56834,10664820.972445,760542886.053135,313670229.841154,4371285937.13104,9653113.71540155,1244067337.88556,513089919.014904,2768139954.43549,6138096307.74697,13.0349537818615,7.0548291681817,0,0,150.756560809315,35.8625527603302,0.010134922326245,0.0184014318389727,0.00754435599537227,0.0112349965695218,0.0201945352150085,0.0825457961571091,0.0195560520362641,0.186373074808325,0.0766479329780724,0.125377794839804,5.27406730885484e-05,0.000598273520679966,100758276.964554
"52",347.217078976352,9.41471471529102e-13,0.249670988415671,0.000211407725066612,8.71907566658936e-05,59.879696343744,6.59099512334419e-05,4.60738643143747,0.00254850386821299,0.00105107786655112,347.467048563252,64.490748266862,1685690279.41807,10664820.9688572,761387784.848913,314018690.926418,4414711609.93705,9667277.92661823,1255091324.93165,517636535.141259,2771761576.16268,6197106747.93665,13.3419630128038,7.14566591502803,0,0,154.308213091195,36.8309157918069,0.0101631910529044,0.0187317317195684,0.00755272108895092,0.0113327248848351,0.0201945352189102,0.0828335472158895,0.0196348525655242,0.190049219121819,0.0767330823463191,0.126488798355523,5.27406730885484e-05,0.000598273520679966,101954429.84852
"53",349.60910253118,-5.37005094025742e-12,0.2358432943195,0.000199699194921796,8.2361814854751e-05,60.5296965792351,6.6398505672858e-05,4.632427382861,0.00256212430262679,0.00105669533385173,349.845227886506,65.1658091802328,1687930457.86079,10664820.9720736,762167241.285466,314340161.660138,4457350073.61969,9681213.68900468,1265915934.54673,522100922.157647,2775102681.77888,6255048144.01314,13.6512480104136,7.23503744988505,0,0,157.884156751426,37.8094533050571,0.0101898941736195,0.0190637735998807,0.0075604382551968,0.0114286726799067,0.0201945352222807,0.0831053617671751,0.0197142373010319,0.193745095172359,0.0768116363973843,0.127579708503399,5.27406730885484e-05,0.000598273520679966,103123894.047461
"54",352.019991219756,-1.58689200233818e-12,0.222781430398779,0.000188639121022162,7.78003154498152e-05,61.1810173044531,6.68905400581582e-05,4.65819672940113,0.00257615992278049,0.00106248403594902,352.243039089592,65.8429195683476,1689997112.985,10664820.9756057,762886321.350133,314636731.404322,4499221096.58253,9694924.64806319,1276546139.34125,526485130.914709,2778184986.71548,6311947291.48661,13.9628249301636,7.32296720502572,0,0,161.484592576011,38.7981958146532,0.0102151183745504,0.0193976125201103,0.00756755765278676,0.0115228853250583,0.0201945352202604,0.0833621221970683,0.019794210383011,0.197461297223813,0.0768841056842754,0.128651026425866,5.27406730885484e-05,0.000598273520679966,104267681.256819
"55",354.449898912351,2.59626543955879e-12,0.210442985323873,0.000178191598326429,7.34914501572272e-05,61.8337418500729,6.73860703645566e-05,4.684666813482,0.00259059469083709,0.00106843735836784,354.660593580728,66.522135081669,1691903683.27405,10664820.9759371,763549700.823318,314910328.588178,4540343549.7406,9708414.39550573,1286986687.99307,530791119.906702,2781028533.6619,6367829772.03594,14.276710052105,7.40947824571657,0,0,165.10972248758,39.7971746763352,0.0102389455572517,0.0197333013743631,0.00757412557623635,0.0116154060961735,0.0201945352180264,0.0836046621960206,0.0198747759952732,0.201198396772627,0.0769509614347297,0.129703230697306,5.27406730885484e-05,0.000598273520679966,105386741.278714
"56",356.898978404116,8.1344416469182e-13,0.198787889092248,0.000168322702055368,6.94212274013675e-05,62.487951614553,6.78851159203847e-05,4.71181174227228,0.00260541358725365,0.00107454910660744,357.09800403714,67.2035112046296,1693662571.83246,10664820.9748031,764161695.317812,315162733.097207,4580735468.07905,9721686.47280044,1297242120.60463,535020761.605255,2783651821.2227,6422720036.7618,14.5929197816879,7.494593275681,0,0,168.759749558373,40.806422084466,0.0102614531019928,0.0200708910468842,0.00758018475265899,0.0117062763189468,0.0201945352189785,0.0838337694304124,0.0199559383521382,0.204956943987676,0.0770126385785925,0.130736778871757,5.27406730885484e-05,0.000598273520679966,106481966.597027
