"","S0","F0","L0","I0","J0","S1","F1","L1","I1","J1","N0","N1","cL0","cF0","cI0","cJ0","cL1","cF1","cI1","cJ1","cN0","cN1","Ct","Cl","Pt","Pl","LTBIEn","natdeath0","natdeath1","tbdeath0","tbdeath1","progAcute0","activation0","progAcute1","activation1","exogenous0","exogenous1"
"1",245.839449803436,0.001934508,4.15159857142857,0.00496811893208895,0.00204899820362991,25.5009651876495,0.00110792,5.89212,0.00411127978417892,0.00169561256635628,250,31.4,0,0,0,0,0,0,0,0,0,0,14014.9,700.434027777778,0,0,0.263109,0,0,0,0,0,0,0,0,0,0
"2",247.51362069412,0.00191769888525709,3.95739130888986,0.00487330581353791,0.00200989448806931,26.2700751765801,0.00123789398128762,5.76893194055594,0.00422554799834414,0.0017427401349103,251.479812902197,32.0462132992506,127962925.680051,1356157.93350705,66759706.465321,27533664.2484092,184029209.742905,930034.009404668,60927413.1497342,25128255.1408508,223612454.327288,271014912.042895,13687.3768140386,684.065135788999,0,0,0.4735962,2.56410256410256,0.473962264150943,0.000642777283870828,0.00053510782788073,0.00226709619368477,0.00453997841816748,0.00155055584362601,0.00466392349956326,7.69867541788867e-06,7.17841025033602e-05
"3",249.193370433837,0.00187214043928722,3.77308387716018,0.00472506661523435,0.00194875628763902,27.0285589974905,0.00131095090296364,5.65531439315114,0.00424189629313847,0.00174948265197236,252.975000274339,32.6911757204898,247103041.179519,2657956.61552711,129558286.845121,53433643.7270839,360108900.816705,1881293.62965457,120225802.852953,49584653.1540429,432752928.367251,531800650.453356,13367.5077274531,668.078778934601,0,0,0.685673667598683,5.14338269643279,0.957678691309443,0.00126932187076521,0.00108050266762897,0.00449531916794646,0.00886808169910325,0.00317384764056205,0.00923317167302051,1.48145230469788e-05,0.000142013903714118
"4",250.879527485572,0.00181186956243763,3.59784535236722,0.00455088604879668,0.00187691910487095,27.777407988228,0.00135215228606081,5.5502623591831,0.00421189911494528,0.00173711093441246,254.485612512656,33.3349715097466,358047767.185814,3892689.2533719,188405705.658543,77704048.0964612,528782505.570917,2828138.33523751,177611438.497503,73252175.199535,628050210.19419,782474257.603193,13055.1138666864,652.466017505704,0,0,0.899351967242815,7.73799808386191,1.45113040029797,0.00187466826356865,0.00162667061198565,0.00665927165261841,0.0129949077082274,0.00482786417936022,0.0137149806751576,2.13340091626309e-05,0.000209633254783583
"5",252.572744556517,0.00174476492013924,3.43104252410496,0.00436616289594126,0.00180073384973849,28.5173768520659,0.00137502588474379,5.45304961777988,0.0041614726572712,0.00171631358181242,256.011698742287,33.9776792819696,461372084.665898,5055809.78748873,243427486.072456,100396646.798245,690540935.491594,3758098.43823164,233002657.674524,96097141.3007925,810252027.324088,1023398832.90514,12750.0205383926,637.218120711221,0,0,1.11464176409157,10.3481069301456,1.95429978157716,0.00245655197932379,0.00216904223974402,0.0087464624868843,0.0169302444164167,0.00649096766851452,0.0181159042776862,2.72769224924612e-05,0.000274294444874501
"6",254.273567592427,0.00167522161400088,3.27216193922211,0.00417944110067007,0.00172372429575658,29.2490845270516,0.00138703262744811,5.36310695676504,0.00410354896231978,0.00169242414830138,257.553307918659,34.6193744895547,557606245.592296,6147121.12240748,294804894.406778,121586199.388106,845832135.798666,4665376.84670436,286416104.031637,118126415.787059,980144460.509586,1255040032.46407,12452.0571317463,622.326561795521,0,0,1.33155381885372,12.973867942887,2.4671704122484,0.00301421554303025,0.00270556070124331,0.0107516282899571,0.0206832433742062,0.00815211641572678,0.0224419829018524,3.26783288307461e-05,0.000335978120190589
"7",255.982475240283,0.00160566629836411,3.12076535184179,0.00399538263406343,0.00164781317676062,29.9730673047612,0.00139240163935705,5.2799584254824,0.00404448743659064,0.00166806543994981,259.110489454234,35.2601306847595,647241128.089177,7168677.00820281,342742402.326887,141357035.987925,995067239.880496,5547565.74525353,337914629.889096,139365920.801717,1138509243.41219,1477895356.31656,12161.0570230361,607.78301327019,0,0,1.55009898529506,15.6154403317963,2.98972700831715,0.00354773192050824,0.00323544314077944,0.0126735198210596,0.0242625264442652,0.00980581249979628,0.0266988410999053,3.75791525542e-05,0.000394810558263459
"8",257.699901557915,0.00153741484274288,2.97646412705412,0.00381645552015186,0.00157401837836771,30.6898071878578,0.00139361164586475,5.20318755416891,0.00398732571685218,0.00164449026740231,260.68329357371,35.9000201696568,730732212.264047,8123631.7128801,387450209.248491,159795849.012089,1138624895.00496,6403980.05942627,387581151.536664,159849853.458624,1286101902.23751,1692459880.05967,11876.8574824869,593.579342257236,0,0,1.77028820915903,18.2729838133782,3.52195539601163,0.00405762182511737,0.00375854824907279,0.0145130851987215,0.0276762543092875,0.0114494793965503,0.0308917473676977,4.20213516808409e-05,0.000450976161111982
"9",259.426249215359,0.00147115748967066,2.83890440183208,0.00364389156794987,0.00150284793480418,31.3997473617917,0.00139217255855226,5.13241910729044,0.00393343021965327,0.00162226218098694,262.271771514184,36.5391143340413,808502722.346569,9015613.4141598,429135061.653863,176987906.783797,1276854561.41698,7234806.97869678,435505578.192817,179615294.960879,1423641304.19839,1899210241.54938,11599.2995832601,579.707605941105,0,0,1.99213252783906,20.9466586192624,4.06384249291211,0.00454463778092309,0.00427505269770582,0.0162724443844426,0.0309321729364134,0.0130820934475593,0.0350256538209257,4.60455322719283e-05,0.000504676049860634
"10",261.161897294053,0.00140723309578038,2.70775835648555,0.0034782293481111,0.00143452396843,32.1033009266136,0.00138904302232037,5.06730892874589,0.00388333431490942,0.00160160115812648,263.875975636951,37.1774838338548,880946241.971738,9848386.63059556,467995628.228508,193015146.105543,1410079198.93737,8040669.10012434,481778344.467992,198699543.198663,1551805402.93638,2098597755.70415,11328.2281125804,566.160047126995,0,0,2.21564307045354,23.6366255065873,4.61537629418066,0.00500964273264939,0.00478528544001505,0.0179543116684207,0.0340376471846295,0.0147034646990227,0.0391052248463292,4.96898509453507e-05,0.000556109005518305
