"","S0","F0","L0","I0","J0","S1","F1","L1","I1","J1","N0","N1","cL0","cF0","cI0","cI0dL0","cI0dF0","cJ0","cJ0dL0","cJ0dF0","cL1","cF1","cI1","cI1dL1","cI1dF1","cJ1","cJ1dL1","cJ1dF1","cN0","cN1","LTBIEn","LTBIEnD","curedLTBIEn","curedLTBIEnD","natdeath0","natdeath1","tbdeath0","tbdeath1","tbdeathD0","tbdeathD1","progAcute0","progChron0","progAcute1","progChron1","progTotalD0","progTotalD1","exogenous0","exogenous1","interventionCost"
"1",245.839449803436,0.001934508,4.15159857142857,0.00496811893208895,0.00204899820362991,25.5009651876495,0.00110792,5.89212,0.00411127978417892,0.00169561256635628,250,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",247.52918184292,0.00187520205240408,3.95722936747859,0.00488980601328838,0.00201669965519803,26.273681541506,0.00132275231549737,5.76958447689318,0.00416811841144395,0.00171905448607576,251.495192918119,32.0504759436122,124972011.691454,1331699.39899057,65318010.0718301,43483246.8940817,43483246.8940817,26939066.3008115,9005297.80777223,9005297.80777223,179732676.479274,877377.204162218,58999538.3908921,44669203.7024015,44669203.7024015,24333142.9521761,5910251.02971637,5910251.02971637,218560787.463087,263942735.026504,0.474397786985455,0.20392731356469,0,0,2.5717569099654,0.478873081256721,0.000641793025847042,0.000537536550592259,0.000619461762332208,0.000518800670021841,0.00227978945091311,0.00453996207735012,0.00149680564305273,0.0046640319206887,0.00658278520522027,0.00594600613226409,7.66514684497072e-06,7.136984079939e-05,0
"3",249.224667923925,0.00182601648003205,3.77279799775229,0.00474036897245845,0.00195506742931902,27.0360359975774,0.00136633423140943,5.65642180246054,0.00419384893870933,0.00172966651144509,253.005987374559,32.6997476497195,241323306.733187,2599312.46161943,126585724.376487,83966968.1711057,83966968.1711057,52207671.6355003,17577227.1355529,17577227.1355529,351718437.193865,1804377.14425366,116884221.050077,87413056.0155262,87413056.0155262,48206486.6477722,12154774.2797864,12154774.2797864,422716015.206794,518613522.035968,0.68729691034118,0.404606830783574,0,0,5.15892909172681,0.967555477379518,0.00126790391852162,0.00108142017997843,0.00120968128408786,0.00103146894984156,0.00450180636945985,0.00886789632534357,0.00311569654537972,0.0092338380766009,0.012757379361393,0.011779656486871,1.47546191218494e-05,0.000140702511901981,0
"4",250.926788643378,0.00176523460207876,3.59743583593378,0.00456472172988025,0.0018826253462218,27.78882400453,0.00137804542939424,5.55179554463091,0.00417649544850262,0.00172250942226379,254.53243706099,33.3478965994611,349667151.331689,3800349.95667261,183975711.292681,121664546.055681,121664546.055681,75876988.2732529,25698955.1542432,25698955.1542432,516484522.933897,2726241.5203122,172890708.237585,128362592.801719,128362592.801719,71305207.3522248,18364702.9763741,18364702.9763741,613320200.854296,763406680.044019,0.901817190068595,0.602088938931814,0,0,7.761676840041,1.46602962616089,0.00187264574388987,0.00162559292667268,0.00176644156349627,0.00153243271690638,0.00665746845327339,0.01299441277414,0.00476406761057066,0.0137165814022568,0.0185411740052326,0.0174240212623572,2.12472071991388e-05,0.000207413306201025,0
"5",252.636197843255,0.00169811237207071,3.43051248213563,0.00437908276484932,0.00180606238324294,28.5327780686966,0.00137766944872515,5.45500242475886,0.00413721384472778,0.00170630853483123,256.074593582911,33.9950016852837,450565316.73522,4931287.44181174,237625648.350969,156771445.416746,156771445.416746,98003798.4724337,33346648.6677874,33346648.6677874,674509121.916542,3629773.71105029,226922302.300739,167636658.821429,167636658.821429,93589424.1127343,24451141.0959863,24451141.0959863,791126051.000435,998650622.041064,1.11796954551202,0.796423300717894,0,0,10.3801609865702,1.97427917993041,0.00245379331688302,0.00216590222985706,0.00228897980594568,0.00201822060604931,0.00873586453583546,0.0169293015211225,0.00641829019455488,0.0181187984299939,0.0239480443544658,0.0228693552157684,2.71633777488505e-05,0.000271208314854471,0
"6",254.353441249431,0.0016287902115587,3.27151767572859,0.00419180757830636,0.00172882459444274,29.2685119607687,0.00137165713878525,5.36548037231055,0.00408866074948499,0.00168628381193449,257.632508347544,34.6411389347795,544535972.983698,5992129.31470648,287715901.751513,189467960.349544,189467960.349544,118662490.552884,40520337.4143719,40520337.4143719,826228918.790224,4509928.2999155,279005125.50995,205343783.89737,205343783.89737,115069910.521053,30380101.3430416,30380101.3430416,956906494.602803,1224813883.12114,1.33576499234395,0.987658859108006,0,0,13.0145428903933,2.49228895868352,0.00301064675916523,0.00270040784154683,0.00277797504284142,0.00248756180329752,0.0107320812973305,0.0206817198474213,0.00806825868404861,0.0224465234765136,0.0289961678145686,0.0281182909639743,3.25388801830985e-05,0.000332079516177337,0
"7",256.078998536318,0.00155963030297444,3.12001491462934,0.00400739745437863,0.00165276844163639,29.9965604414386,0.00136307804883539,5.28275654527847,0.00403735410749659,0.0016651234454647,259.206233247146,35.2863825423189,632058866.570898,6984969.52546666,334447729.103414,219921015.711514,219921015.711514,137936069.06525,47234181.229428,47234181.229428,972044827.105461,5364845.34379786,329208438.71652,241583607.613205,241583607.613205,135775231.78704,36139054.6358303,36139054.6358303,1111427634.26503,1442393342.95282,1.55521464101943,1.17584384348226,0,0,15.664984440189,3.02004491567846,0.00354331624743237,0.00322837633114894,0.00323480316909265,0.0029403293681698,0.0126450362788059,0.0242602976942878,0.00970925976439205,0.0267053795032341,0.0337058272387719,0.0331778086539012,3.74150059341752e-05,0.000390154834370573,0
"8",257.813305676713,0.0014919127341981,2.97561633558202,0.00382822032859427,0.00157887053100216,30.7174055004924,0.00135350458133312,5.20641575173715,0.00398655407102646,0.00164417201799396,260.795821015889,35.9308054829,713579195.091502,7912934.78289579,378027300.219727,248285515.282024,248285515.282024,155909564.497402,53509323.7313693,53509323.7313693,1112326145.06169,6194189.43620852,377618545.853453,276447912.146894,276447912.146894,155740982.188147,41725741.5851906,41725741.5851906,1255428994.59153,1651879862.5395,1.77632969608714,1.36102577783196,0,0,18.3316480607566,3.55753411393732,0.00405234535307171,0.00374968705119283,0.00366115535662392,0.00337693989947034,0.0144757736107095,0.0276732051955796,0.0113392640775091,0.0309006358515488,0.0380978005349399,0.0380566060436821,4.18338831560685e-05,0.000445616595484752,0
"9",259.556767848147,0.00142629409748139,2.83796821421716,0.00365545662766103,0.00150761770519353,31.4314910734463,0.00134377882306948,5.13608305745096,0.00393784482101054,0.00162408289228118,262.401325430795,36.5744798374336,789510641.604351,8779592.23084462,418657041.069307,274705397.550502,274705397.550502,172666463.265873,59369886.8749878,59369886.8749878,1247413719.00813,6998360.79831936,424326694.795105,310021408.49981,310021408.49981,175004795.02849,47142858.1895847,47142858.1895847,1389613738.17038,1853743569.63004,1.99912145615938,1.54325148855395,0,0,21.0146967229725,4.10474471098764,0.0045384995683734,0.00426452194977222,0.00405883243424536,0.00379804981896196,0.0162264707741358,0.0309281982615489,0.0129576131799941,0.035037246686289,0.0421924883042462,0.0427638791445957,4.58361662202249e-05,0.000498662258490998,0
"10",261.309767157422,0.00136311312321713,2.7067423776901,0.00348960254539959,0.00143921460911961,32.1392317027194,0.00133428000253691,5.07141387680196,0.0038919886898836,0.00160517047661866,264.02280146539,37.2174770186904,860238171.464059,9588625.95563503,456531302.879577,299314608.85688,299314608.85688,188286921.526605,64840783.4104908,64840783.4104908,1377622747.5332,7778131.60029685,469423834.2426,342382433.400861,342382433.400861,193604180.22435,52395605.9968757,52395605.9968757,1514645021.82588,2048428893.60045,2.22360132313103,1.72256714743247,0,0,23.7142940828302,4.66166594027286,0.00500265109389845,0.00477320751283533,0.00442963913660938,0.0042044061113283,0.017899867182849,0.034032656721926,0.0145644068940432,0.0391198821007499,0.0460094773709539,0.0473087938170768,4.94600292152125e-05,0.000549486534755688,0
