"","S0","F0","L0","I0","J0","S1","F1","L1","I1","J1","N0","N1","cL0","cF0","cI0","cJ0","cL1","cF1","cI1","cJ1","cN0","cN1","LTBIEn","LTBIEnD","curedLTBIEn","curedLTBIEnD","natdeath0","natdeath1","tbdeath0","tbdeath1","tbdeathD0","tbdeathD1","progAcute0","progChron0","progAcute1","progChron1","progTotalD0","progTotalD1","exogenous0","exogenous1","interventionCost"
"98",479.095252788398,4.87814542428084e-07,0.000865224161854137,1.2208869376226e-06,5.03529640940321e-07,98.5092350599081,2.97560370265511e-07,0.000809061226641591,7.55842685453289e-07,3.11731729028825e-07,479.096120224889,98.5100454862864,2024260397.81535,17265819.7936607,796376529.400341,328449077.097316,3482543132.20935,15787301.0665558,877418606.519361,361873210.59838,3166351824.10666,4737622250.39366,2.4497807742862,1.89901816895552,27.7609066678235,8.16349073224861,347.424279950897,93.0264495064218,0.0105217047802957,0.0109833073761107,0.00787955703815925,0.00813366721807235,0.0382222622031527,0.0683803348691233,0.0355779757483781,0.0828582192217404,0.0802592673866855,0.088426732771389,7.02118849179932e-05,0.000843529489019008,8600041038.78597
"99",482.512060919694,4.44883228627742e-07,0.000789177267140949,1.11353502175929e-06,4.59254556996709e-07,99.3350413005329,2.69087880094214e-07,0.000731926501457917,6.83861112723383e-07,2.82044413722171e-07,482.512852114732,99.3357744620445,2024265540.57963,17265852.754409,796377964.526895,328449668.985668,3482547921.9144,15787321.1660168,877419530.002818,361873591.470088,3166359026.8466,4737628364.55333,2.4497807742862,1.89901816895552,28.1945408558731,8.2057142166134,352.355585754296,94.5196198385345,0.010521856346951,0.0109834008405992,0.00787957179954566,0.00813367632092976,0.0382228214343906,0.0683812606942042,0.0355783154478155,0.0828588351138947,0.0802594120195338,0.0884268258405629,7.02118851098372e-05,0.000843529489546731,8644522463.49112
"100",485.954997056182,4.05731652933349e-07,0.000719813463347385,1.01562089369159e-06,4.18871894008409e-07,100.165373308935,2.43357692953883e-07,0.000662146014636734,6.18725783502028e-07,2.55180690370858e-07,485.955718709968,100.166036572231,2024270121.71222,17265882.1127253,796379242.879223,328450196.215725,3482552153.72447,15787338.942013,877420346.209578,361873928.097735,3166365442.91988,4737633766.97381,2.4497807742862,1.89901816895552,28.6313598602568,8.24725381558094,357.322068837833,96.0252881485176,0.0105219945861548,0.0109834853971293,0.00787958494827252,0.00813368436218032,0.0382233314538382,0.0683821051456079,0.0355786227690723,0.0828593922881747,0.080259540852589,0.0884269080983319,7.02118852682848e-05,0.000843529489974095,8688283431.38741
"101",489.424236104883,3.70031182923652e-07,0.000656545446587617,9.263129027125e-07,3.8203865479106e-07,101.000286080241,2.20245097200406e-07,0.000599018657310429,5.59713549675294e-07,2.3084231144791e-07,489.424894328811,101.000886109716,2024274202.55712,17265908.2614357,796380381.570305,328450665.84538,3482555892.63813,15787354.6352415,877421067.148074,361874225.433951,3166371158.23424,4737638539.85541,2.4497807742862,1.89901816895552,29.0713867058449,8.28812057202815,362.323998141664,97.5435232702966,0.0105221206699444,0.010983561898352,0.00787959666063405,0.0081336914682387,0.0382237965908188,0.0683828753755392,0.0355789007367495,0.0828598963436835,0.0802596556105064,0.0884269807549125,7.02118853991661e-05,0.000843529490321476,8731335575.87992
"102",492.919954429816,3.37470292911267e-07,0.000598837585679798,8.44858143412948e-07,3.48444319034727e-07,101.839834640567,1.99302213192887e-07,0.000541909820454224,5.06343026529061e-07,2.08830739754857e-07,492.920554798272,101.840377464879,2024277837.74749,17265931.551812,796381395.864284,328451084.170015,3482559196.07195,15787368.4972852,877421704.062355,361874488.116112,3166376249.3336,4737642756.74771,2.4497807742862,1.89901816895552,29.5146445891919,8.32832535167006,367.36164440239,99.0743948584754,0.0105222356668715,0.0109836311071301,0.00787960709350743,0.00813369774718715,0.0382242207980236,0.0683835779065691,0.0355791522360697,0.0828603523446987,0.0802597578316149,0.0884270449434863,7.02118855072774e-05,0.000843529490603754,8773690343.73797
"103",496.442329863672,3.07772667076174e-07,0.000546201371763977,7.70566293920321e-07,3.17804177718544e-07,102.684074057456,1.80298115596285e-07,0.000490245734473302,4.58089003485567e-07,1.88929363019478e-07,496.442877461284,102.684565130523,2024281075.93338,17265952.296311,796382299.347998,328451456.793242,3482562114.72949,15787380.7453062,877422266.800076,361874720.205681,3166380784.37093,4737646482.48056,2.4497807742862,1.89901816895552,29.9611568796797,8.36787884594547,372.435280167949,100.617973389514,0.0105223405516152,0.0109836937178517,0.0078796163866093,0.00813370329493581,0.0382246076766217,0.0683842186875121,0.0355793797993043,0.0828607648719732,0.0802598488852037,0.0884271016565053,7.0211885596573e-05,0.000843529490832996,8815358998.13506
"104",499.991541719549,2.80688595486006e-07,0.000498191172310779,7.02806594674818e-07,2.8985808706927e-07,103.533059450916,1.63103964602688e-07,0.000443507383426916,4.14434987634404e-07,1.70925164391624e-07,499.992041184171,103.533503706779,2024283960.46309,17265970.7731979,796383104.125319,328451788.707052,3482564693.42221,15787391.5681256,877422764.013809,361874925.271231,3166384824.06865,4737649774.27538,2.4497807742862,1.89901816895552,30.4109471206962,8.40679157481381,377.54517981282,102.17433016312,0.0105224362133062,0.0109837503607942,0.00787962466443319,0.00813370819653864,0.0382249605102766,0.0683848031450253,0.0355795856820307,0.0828611380700498,0.0802599299911075,0.0884271517659804,7.0211885670324e-05,0.000843529491019053,8856352621.59529
"105",503.567770802629,2.55988602470334e-07,0.000454400475428204,6.41004513738416e-07,2.64369093236747e-07,104.386846003701,1.47568429628231e-07,0.000401225144330694,3.74931585188895e-07,1.54632800671139e-07,503.568226364564,104.387247905994,2024286529.95805,17265987.2303198,796383820.979031,328452084.358583,3482566971.75031,15787401.13088,877423203.321697,361875106.454711,3166388422.52598,4737652682.65761,2.4497807742862,1.89901816895552,30.8640390308614,8.44507388945931,382.691619553708,103.743537303919,0.0105225234629249,0.0109838016053427,0.00787963203789566,0.00813371252732022,0.0382252822946677,0.0683853362292663,0.0355797719405909,0.0828614756886749,0.0802600022360214,0.0884271960396726,7.02118857312358e-05,0.000843529491170047,8896682118.84216
"106",507.171199421716,2.3346214473687e-07,0.000414458479016682,5.84636599800236e-07,2.41121309522132e-07,105.245488970865,1.33516365029521e-07,0.000362974110042729,3.39191937392647e-07,1.39892719941594e-07,507.171614939512,105.245852557592,2024288818.82397,17266001.888479,796384459.515076,328452347.709607,3482568984.7034,15787409.5803475,877423591.469098,361875266.538102,3166391627.93713,4737655252.29096,2.4497807742862,1.89901816895552,31.3204565052736,8.48273597494023,387.874877465408,105.325667763245,0.0105226030401333,0.0109838479656622,0.00787963860579838,0.00813371635375765,0.0382255757624342,0.0683858224554526,0.035579940452463,0.0828617811201413,0.0802600665880374,0.0884272351573824,7.02118857815443e-05,0.000843529491292609,8936358219.58944
"107",510.802011400524,2.1291766166042e-07,0.00037802696812377,5.33225208995916e-07,2.19917741563287e-07,106.109043688778,1.20795849273743e-07,0.000328369907751007,3.0686270939179e-07,1.26559196528814e-07,510.802390393649,106.109372612919,2024290857.70843,17266014.9443391,796385028.289801,328452582.289014,3482570763.19383,15787417.0465096,877423934.420363,361875407.981279,3166394483.23158,4737657522.64199,2.4497807742862,1.89901816895552,31.7802236167587,8.51978785280638,393.095233496694,106.920795320977,0.010522675619559,0.0109838899070555,0.00787964445614652,0.00813371973455546,0.0382258434055076,0.0683862659419384,0.0355800929132704,0.0828620574332191,0.080260123909469,0.0884272697202007,7.02118858230954e-05,0.000843529491392107,8975391481.2987
