"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","latCost","actCost","totCost"
2754693,2735442,19221,5,19,6,415533,368255,47233,8,27,10,1.635e+09,4.13224e+09,5.76724e+09
2755779,2736590,19158,4,21,6,415927,368660,47225,8,24,10,1.63851e+09,4.14243e+09,5.78094e+09
2756857,2737737,19092,5,19,4,416332,369086,47205,7,24,10,1.64492e+09,4.15392e+09,5.79884e+09
2757950,2738875,19044,6,20,5,416723,369500,47180,7,27,9,1.6469e+09,4.16391e+09,5.8108e+09
2759037,2740042,18963,6,21,5,417115,369915,47157,6,28,9,1.64735e+09,4.17542e+09,5.82277e+09
2760130,2741186,18911,8,21,4,417507,370326,47136,5,30,10,1.64932e+09,4.18635e+09,5.83567e+09
2761217,2742338,18845,9,21,4,417908,370747,47112,5,32,12,1.64978e+09,4.19766e+09,5.84744e+09
2762313,2743502,18781,8,19,3,418310,371146,47112,5,35,12,1.65114e+09,4.20799e+09,5.85913e+09
2763411,2744664,18716,7,19,5,418705,371561,47094,5,34,11,1.65658e+09,4.21887e+09,5.87545e+09
2764502,2745826,18641,6,23,6,419105,371972,47083,5,33,12,1.65899e+09,4.23018e+09,5.88918e+09
2765586,2746981,18570,5,26,4,419506,372389,47069,5,32,11,1.66141e+09,4.24109e+09,5.90249e+09
2766680,2748132,18513,5,25,5,419894,372806,47040,5,35,8,1.66682e+09,4.25214e+09,5.91896e+09
2767778,2749274,18468,5,25,6,420294,373218,47025,6,36,9,1.66967e+09,4.26183e+09,5.9315e+09
2768872,2750433,18403,6,24,6,420680,373627,47003,6,35,9,1.67102e+09,4.27269e+09,5.94371e+09
2769964,2751573,18354,6,23,8,421081,374060,46972,7,34,8,1.67851e+09,4.28341e+09,5.96193e+09
2771057,2752720,18301,4,24,8,421475,374491,46932,8,34,10,1.67986e+09,4.29435e+09,5.97421e+09
2772152,2753868,18249,3,23,9,421873,374908,46912,8,36,9,1.6818e+09,4.30488e+09,5.98667e+09
2773249,2755003,18210,3,24,9,422268,375332,46884,9,35,8,1.68463e+09,4.315e+09,5.99963e+09
2774348,2756153,18162,3,21,9,422670,375746,46869,9,38,8,1.68999e+09,4.32488e+09,6.01487e+09
2775448,2757300,18115,4,20,9,423068,376142,46875,9,34,8,1.69371e+09,4.33441e+09,6.02812e+09
2776545,2758449,18066,3,19,8,423467,376573,46843,10,33,8,1.70098e+09,4.34488e+09,6.04586e+09
2777645,2759595,18018,3,21,8,423863,376984,46827,9,35,8,1.70143e+09,4.35471e+09,6.05614e+09
2778751,2760759,17961,4,20,7,424266,377383,46830,9,35,9,1.70528e+09,4.36459e+09,6.06987e+09
2779844,2761909,17905,2,21,7,424659,377793,46812,9,35,10,1.7106e+09,4.37462e+09,6.08522e+09
2780944,2763067,17849,2,20,6,425056,378203,46800,10,32,11,1.71783e+09,4.38459e+09,6.10241e+09
2782036,2764227,17781,3,20,5,425441,378619,46773,8,30,11,1.72254e+09,4.39497e+09,6.11752e+09
2783140,2765374,17738,4,20,4,425846,379024,46772,7,30,13,1.72872e+09,4.40413e+09,6.13285e+09
2784240,2766519,17691,5,21,4,426248,379430,46769,7,30,12,1.73063e+09,4.413e+09,6.14363e+09
2785345,2767685,17630,4,22,4,426640,379833,46757,8,30,12,1.7365e+09,4.4229e+09,6.1594e+09
2786449,2768819,17599,5,22,4,427031,380255,46727,9,30,10,1.74075e+09,4.43224e+09,6.17299e+09
2787556,2769975,17550,5,22,4,427417,380693,46678,8,29,9,1.74704e+09,4.4431e+09,6.19014e+09
2788661,2771129,17500,5,23,4,427823,381102,46672,7,33,9,1.74704e+09,4.45269e+09,6.19972e+09
2789765,2772280,17451,6,24,4,428217,381536,46639,7,27,8,1.75506e+09,4.46319e+09,6.21824e+09
2790873,2773433,17407,6,23,4,428615,381965,46612,6,25,7,1.76278e+09,4.47389e+09,6.23667e+09
2791979,2774582,17366,6,21,4,429016,382371,46607,4,27,7,1.7651e+09,4.48289e+09,6.24799e+09
2793088,2775744,17314,5,20,5,429420,382794,46588,4,27,7,1.76699e+09,4.49383e+09,6.26082e+09
2794192,2776916,17248,3,20,5,429825,383182,46606,4,25,8,1.76829e+09,4.50237e+09,6.27066e+09
2795300,2778091,17184,3,18,4,430222,383591,46597,3,23,8,1.77191e+09,4.51208e+09,6.284e+09
2796408,2779251,17132,3,17,5,430624,384022,46567,3,21,11,1.77466e+09,4.52244e+09,6.2971e+09
2797521,2780419,17077,3,17,5,431013,384447,46529,3,22,12,1.77654e+09,4.53288e+09,6.30942e+09
2798629,2781591,17013,3,17,5,431407,384861,46508,3,22,13,1.77798e+09,4.54283e+09,6.3208e+09
2799742,2782768,16946,4,19,5,431812,385254,46516,4,24,14,1.77942e+09,4.55238e+09,6.33179e+09
2800863,2783935,16901,5,18,4,432213,385665,46503,3,28,14,1.78315e+09,4.56192e+09,6.34507e+09
2801974,2785094,16852,6,19,3,432616,386083,46484,4,31,14,1.78545e+09,4.57176e+09,6.35721e+09
2803085,2786262,16797,6,19,1,433022,386494,46480,5,29,14,1.7896e+09,4.58159e+09,6.3712e+09
2804203,2787429,16747,7,19,1,433415,386928,46437,6,30,14,1.79003e+09,4.59248e+09,6.38252e+09
