"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092920,245944975,4139022,1948,4932,2043,31440754,25549696,5884056,1157,4144,1701,0
250185977,246050268,4126802,1946,4911,2050,31481356,25597915,5876438,1169,4142,1692,0
250279119,246155790,4114480,1903,4882,2064,31522127,25646515,5868592,1201,4134,1685,0
250372312,246261331,4102070,1923,4899,2089,31562794,25695075,5860630,1229,4149,1711,0
250465471,246367012,4089559,1899,4927,2074,31603445,25743569,5852789,1251,4117,1719,0
250558797,246472327,4077531,1880,4967,2092,31644137,25791999,5845077,1267,4106,1688,0
250652095,246577787,4065362,1889,4965,2092,31684913,25840283,5837551,1272,4131,1676,0
250745464,246683453,4053098,1909,4921,2083,31725634,25888526,5829998,1274,4149,1687,0
250838890,246789203,4040813,1908,4903,2063,31766280,25936954,5822139,1297,4188,1702,0
250932357,246894801,4028673,1903,4919,2061,31806979,25984985,5814790,1300,4189,1715,0
251025918,247000622,4016409,1892,4931,2064,31847669,26033207,5807194,1306,4234,1728,0
251119539,247106366,4004306,1902,4902,2063,31888322,26081134,5799866,1334,4272,1716,0
251213214,247212046,3992319,1906,4874,2069,31928967,26129172,5792481,1347,4251,1716,0
251307005,247317845,3980337,1910,4869,2044,31969543,26177227,5784968,1356,4280,1712,0
251400849,247423728,3968292,1914,4857,2058,32010269,26225084,5777779,1370,4291,1745,0
251494765,247529379,3956580,1918,4846,2042,32050870,26273236,5770207,1365,4302,1760,0
251588753,247634933,3944978,1925,4874,2043,32091473,26320971,5763077,1368,4283,1774,0
251682713,247740865,3933037,1930,4852,2029,32132073,26368814,5755768,1370,4330,1791,0
251776781,247846801,3921145,1940,4849,2046,32172803,26416717,5748606,1381,4317,1782,0
251870949,247952740,3909387,1932,4867,2023,32213471,26464591,5741360,1385,4354,1781,0
251965089,248058743,3897530,1944,4864,2008,32254103,26512595,5733985,1386,4356,1781,0
252059347,248164473,3886060,1931,4857,2026,32294652,26560301,5726860,1400,4337,1754,0
252153652,248270275,3874577,1921,4875,2004,32335240,26608012,5719721,1410,4353,1744,0
252248037,248376296,3862979,1914,4853,1995,32375850,26655567,5712750,1410,4382,1741,0
252342467,248481993,3851693,1917,4859,2005,32416380,26703122,5705664,1441,4393,1760,0
252437001,248587791,3840415,1903,4876,2016,32456968,26750658,5698712,1445,4382,1771,0
252531616,248694073,3828778,1904,4853,2008,32497545,26798110,5691836,1441,4394,1764,0
252626188,248800031,3817386,1891,4886,1994,32538087,26845832,5684651,1465,4372,1767,0
252720885,248905999,3806099,1879,4893,2015,32578599,26893404,5677630,1455,4337,1773,0
252815613,249012016,3794818,1889,4871,2019,32619172,26940750,5670850,1435,4381,1756,0
