"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250093018,245944914,4139194,1937,4922,2051,31440624,25549190,5884464,1130,4129,1711,0
250186013,246050529,4126557,1912,4937,2078,31481292,25597592,5876674,1173,4128,1725,0
250279055,246155824,4114264,1916,4981,2070,31521918,25646129,5868728,1206,4137,1718,0
250372200,246261264,4101972,1941,4972,2051,31562585,25694349,5861139,1224,4154,1719,0
250465516,246366713,4089823,1943,4997,2040,31603333,25742765,5853436,1225,4190,1717,0
250558759,246472377,4077413,1956,4996,2017,31643930,25791140,5845665,1245,4189,1691,0
250652099,246577883,4065233,1930,5028,2025,31684646,25839276,5838250,1268,4188,1664,0
250745508,246683417,4053099,1923,5026,2043,31725339,25887566,5830548,1290,4238,1697,0
250838903,246788897,4041079,1962,4948,2017,31765936,25935607,5823040,1321,4258,1710,0
250932509,246894539,4029012,1938,4985,2035,31806571,25983644,5815614,1324,4267,1722,0
251026089,247000395,4016751,1936,4975,2032,31847186,26031942,5807951,1331,4245,1717,0
251119674,247106070,4004695,1954,4923,2032,31887889,26079726,5800849,1315,4290,1709,0
251213342,247211540,3992858,1954,4959,2031,31928589,26127662,5793579,1320,4307,1721,0
251307125,247317255,3980955,1931,4953,2031,31969258,26175297,5786567,1349,4320,1725,0
251400962,247422946,3969109,1953,4938,2016,32009850,26223059,5779377,1341,4340,1733,0
251494807,247528701,3957203,1923,4960,2020,32050392,26270920,5772003,1345,4368,1756,0
251588662,247634509,3945292,1919,4927,2015,32090964,26318941,5764549,1368,4336,1770,0
251682654,247740195,3933612,1916,4924,2007,32131608,26366764,5757365,1391,4317,1771,0
251776705,247845756,3922099,1916,4918,2016,32172202,26414782,5749953,1373,4312,1782,0
251870955,247951728,3910352,1922,4934,2019,32212884,26462725,5742656,1385,4343,1775,0
251965093,248057350,3898901,1907,4943,1992,32253440,26510525,5735363,1398,4372,1782,0
252059338,248163189,3887295,1912,4958,1984,32294055,26558154,5728372,1387,4376,1766,0
252153659,248269105,3875745,1917,4926,1966,32334731,26605858,5721378,1394,4334,1767,0
252248067,248374943,3864359,1929,4878,1958,32375251,26653642,5714059,1385,4402,1763,0
