"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092939,245944996,4139042,1951,4910,2040,31440634,25549600,5884054,1138,4159,1683,0
250185995,246050385,4126680,1941,4933,2056,31481216,25597958,5876206,1180,4194,1678,0
250279137,246155889,4114369,1948,4905,2026,31521819,25646254,5868511,1184,4195,1675,0
250372225,246261387,4101976,1937,4901,2024,31562595,25694946,5860605,1208,4158,1678,0
250465390,246366749,4089820,1934,4861,2026,31603232,25743423,5852783,1210,4164,1652,0
250558711,246472267,4077636,1921,4857,2030,31643991,25791593,5845321,1258,4178,1641,0
250652113,246577608,4065671,1932,4874,2028,31684533,25840047,5837336,1276,4219,1655,0
250745411,246683030,4053579,1924,4876,2002,31725133,25888164,5829782,1282,4242,1663,0
250838832,246788693,4041369,1902,4882,1986,31765833,25936553,5822089,1269,4250,1672,0
250932407,246894307,4029274,1892,4917,2017,31806484,25984692,5814551,1294,4281,1666,0
251026095,247000054,4017231,1899,4903,2008,31847211,26032752,5807206,1308,4263,1682,0
251119764,247105694,4005220,1906,4905,2039,31887814,26080721,5799833,1326,4248,1686,0
251213446,247211272,3993300,1897,4919,2058,31928544,26128629,5792658,1290,4254,1713,0
251307186,247316973,3981325,1906,4944,2038,31969235,26176616,5785341,1318,4239,1721,0
251400995,247422534,3969539,1922,4939,2061,32009844,26224762,5777804,1316,4244,1718,0
251494838,247528216,3957709,1930,4956,2027,32050500,26272824,5770329,1326,4272,1749,0
251588767,247633907,3945970,1898,4962,2030,32091144,26320735,5763043,1328,4285,1753,0
251682803,247739699,3934247,1892,4949,2016,32131838,26368409,5756022,1332,4299,1776,0
251776819,247845470,3922486,1882,4959,2022,32172497,26416431,5748669,1329,4304,1764,0
251870951,247951057,3911040,1894,4947,2013,32212997,26463911,5741727,1321,4293,1745,0
251965201,248056839,3899519,1879,4953,2011,32253677,26511713,5734602,1341,4274,1747,0
252059471,248162638,3887980,1897,4940,2016,32294246,26559543,5727339,1355,4275,1734,0
252153805,248268725,3876296,1879,4902,2003,32334769,26607399,5720001,1349,4263,1757,0
252248211,248374618,3864793,1887,4914,1999,32375284,26655060,5712895,1346,4241,1742,0
252342666,248480674,3853189,1866,4945,1992,32415949,26702628,5705991,1340,4236,1754,0
252437137,248586602,3841738,1869,4946,1982,32456511,26749941,5699229,1321,4247,1773,0
252531654,248692579,3830294,1875,4914,1992,32497090,26797551,5692176,1332,4249,1782,0
252626184,248798409,3818982,1861,4917,2015,32537722,26845006,5685319,1339,4272,1786,0
252720883,248904469,3807623,1885,4867,2039,32578283,26892418,5678466,1328,4279,1792,0
252815618,249010453,3796378,1898,4837,2052,32618819,26939814,5671598,1320,4304,1783,0
252910428,249116532,3785155,1881,4851,2009,32659352,26987220,5664753,1319,4292,1768,0
253005138,249222669,3773728,1884,4834,2023,32699905,27034839,5657703,1321,4280,1762,0
253100035,249328761,3762535,1897,4838,2004,32740531,27082134,5651036,1333,4285,1743,0
253195021,249434988,3751277,1900,4828,2028,32781129,27129430,5644303,1350,4309,1737,0
253290007,249541123,3740155,1910,4801,2018,32821659,27176676,5637578,1336,4311,1758,0
253385121,249647347,3729026,1942,4807,1999,32862185,27223470,5631279,1357,4307,1772,0
253480263,249753501,3718009,1945,4803,2005,32902690,27270856,5624377,1363,4314,1780,0
253575539,249859714,3707086,1951,4786,2002,32943259,27318053,5617784,1390,4267,1765,0
253670877,249966219,3695952,1939,4772,1995,32983892,27365013,5611422,1401,4291,1765,0
253766136,250072525,3684898,1937,4794,1982,33024419,27412191,5604765,1400,4287,1776,0
253861487,250178744,3674021,1919,4798,2005,33064977,27459113,5598414,1392,4301,1757,0
253956927,250284906,3663332,1898,4795,1996,33105492,27505942,5592049,1411,4330,1760,0
254052461,250391430,3652425,1888,4729,1989,33145942,27552934,5585506,1396,4337,1769,0
254148004,250497597,3641764,1882,4747,2014,33186475,27599957,5579020,1395,4338,1765,0
254243685,250603933,3631135,1893,4713,2011,33226937,27646737,5572772,1387,4277,1764,0
254339475,250710531,3620320,1898,4724,2002,33267364,27693480,5566415,1389,4294,1786,0
254435204,250816909,3609698,1909,4709,1979,33307784,27740548,5559759,1381,4320,1776,0
254531049,250923385,3599098,1897,4697,1972,33348218,27787396,5553377,1389,4276,1780,0
254626964,251030068,3588399,1899,4657,1941,33388697,27834202,5547045,1389,4296,1765,0
254722901,251136762,3577706,1860,4634,1939,33429128,27880799,5540863,1383,4282,1801,0
254818966,251243413,3567162,1851,4623,1917,33469653,27927442,5534728,1401,4307,1775,0
254915058,251349792,3556877,1836,4594,1959,33510175,27974176,5528510,1422,4292,1775,0
255011146,251456463,3546334,1833,4555,1961,33550712,28021062,5522201,1429,4237,1783,0
255107400,251562967,3536074,1805,4567,1987,33591158,28067634,5516080,1406,4261,1777,0
255203669,251669689,3525642,1799,4568,1971,33631544,28114027,5510089,1414,4219,1795,0
255300034,251776467,3515239,1812,4553,1963,33672050,28160493,5504092,1421,4246,1798,0
255396385,251883282,3504793,1788,4559,1963,33712489,28206886,5498171,1414,4240,1778,0
255492805,251990196,3494308,1758,4552,1991,33752852,28253166,5492265,1403,4259,1759,0
255589367,252097044,3484034,1764,4563,1962,33793404,28299535,5486432,1383,4280,1774,0
255685825,252203816,3473724,1759,4579,1947,33833891,28345849,5480599,1382,4288,1773,0
255782474,252310636,3463633,1765,4539,1901,33874259,28392087,5474763,1397,4271,1741,0
255879142,252417501,3453431,1766,4539,1905,33914590,28438305,5468861,1410,4297,1717,0
255975889,252524193,3443448,1785,4547,1916,33954960,28484644,5462907,1430,4278,1701,0
256072768,252631274,3433253,1778,4560,1903,33995302,28530706,5457176,1441,4268,1711,0
256169667,252738405,3423044,1799,4527,1892,34035707,28576966,5451301,1431,4287,1722,0
256266550,252845554,3412778,1785,4528,1905,34076155,28622959,5445717,1456,4316,1707,0
256363596,252952567,3402852,1756,4504,1917,34116583,28669034,5440027,1474,4328,1720,0
256460672,253059846,3392696,1745,4461,1924,34157003,28715081,5434432,1468,4326,1696,0
256557743,253167171,3382471,1738,4453,1910,34197351,28761216,5428623,1454,4336,1722,0
256654939,253274504,3372366,1754,4440,1875,34237669,28807193,5422965,1439,4338,1734,0
256752165,253381864,3362257,1731,4455,1858,34278143,28853164,5417481,1455,4327,1716,0
256849535,253489252,3352251,1751,4449,1832,34318489,28899290,5411757,1429,4310,1703,0
256946863,253596482,3342348,1743,4473,1817,34358964,28944988,5406495,1432,4335,1714,0
257044192,253703666,3332500,1745,4452,1829,34399329,28990583,5401224,1440,4367,1715,0
257141625,253810962,3322652,1748,4447,1816,34439815,29036518,5395740,1447,4385,1725,0
257239197,253918236,3312953,1768,4426,1814,34480178,29082275,5390361,1452,4365,1725,0
257336811,254025740,3303101,1760,4429,1781,34520499,29127868,5385098,1428,4380,1725,0
257434489,254133080,3293444,1770,4418,1777,34560867,29173446,5379824,1455,4363,1779,0
257532238,254240464,3283803,1761,4419,1791,34601117,29219270,5374315,1441,4339,1752,0
257630044,254347991,3274106,1749,4396,1802,34641369,29264858,5368958,1456,4373,1724,0
257727992,254455545,3264537,1725,4382,1803,34681713,29310452,5363721,1463,4363,1714,0
257825972,254563130,3254962,1715,4356,1809,34722058,29356273,5358308,1462,4314,1701,0
257923873,254670471,3245481,1728,4366,1827,34762428,29401912,5353004,1442,4345,1725,0
258021917,254777925,3236094,1750,4331,1817,34802775,29447397,5347814,1445,4382,1737,0
258119960,254885860,3226237,1738,4305,1820,34843124,29492694,5342896,1465,4347,1722,0
258218123,254993534,3216745,1747,4294,1803,34883406,29538237,5337592,1472,4363,1742,0
258316337,255101425,3207167,1697,4259,1789,34923787,29583702,5332533,1488,4313,1751,0
258414700,255209266,3197703,1699,4248,1784,34964057,29628960,5327548,1507,4290,1752,0
258513089,255316973,3188370,1706,4254,1786,35004304,29674388,5322418,1491,4270,1737,0
258611455,255424662,3179071,1691,4255,1776,35044637,29719831,5317286,1476,4299,1745,0
258709971,255532750,3169528,1664,4256,1773,35084863,29765114,5312226,1473,4313,1737,0
258808490,255640571,3160262,1660,4249,1748,35125310,29810498,5307299,1463,4290,1760,0
258907104,255748392,3151058,1665,4232,1757,35165605,29855793,5302277,1476,4301,1758,0
259005718,255856171,3141910,1663,4225,1749,35205989,29901050,5297456,1451,4274,1758,0
259104461,255964039,3132803,1668,4209,1742,35246331,29946377,5292542,1447,4216,1749,0
259203260,256072117,3123563,1673,4171,1736,35286721,29991480,5287779,1460,4235,1767,0
259302070,256180163,3114330,1680,4152,1745,35327078,30036409,5283242,1433,4220,1774,0
259401016,256288332,3105200,1668,4092,1724,35367498,30081796,5278319,1434,4190,1759,0
259499997,256396562,3095947,1670,4085,1733,35407813,30126837,5273562,1445,4210,1759,0
259599030,256504700,3086877,1642,4088,1723,35448188,30172402,5268424,1427,4179,1756,0
259698050,256612900,3077724,1656,4084,1686,35488491,30217639,5263459,1436,4193,1764,0
259797290,256721100,3068764,1636,4093,1697,35528764,30262610,5258787,1422,4191,1754,0
259896512,256829311,3059769,1648,4109,1675,35569040,30307767,5253962,1395,4171,1745,0
259995774,256937591,3050767,1634,4113,1669,35609284,30352656,5249305,1401,4164,1758,0
260095159,257046089,3041684,1641,4078,1667,35649524,30397791,5244420,1371,4184,1758,0
260194572,257154319,3032885,1632,4063,1673,35689848,30442867,5239692,1383,4168,1738,0
260294091,257262522,3024264,1618,4039,1648,35729954,30487773,5234858,1359,4228,1736,0
260393593,257370923,3015357,1615,4050,1648,35770211,30532659,5230257,1367,4197,1731,0
260493170,257479401,3006452,1627,4039,1651,35810438,30577552,5225568,1378,4211,1729,0
260592777,257588027,2997446,1605,4046,1653,35850744,30622399,5221059,1403,4162,1721,0
260692569,257696726,2988568,1594,4032,1649,35891078,30667234,5216611,1432,4109,1692,0
260792407,257805275,2979920,1584,4016,1612,35931292,30712017,5212032,1454,4109,1680,0
260892295,257913674,2971385,1606,4020,1610,35971471,30756919,5207306,1456,4110,1680,0
260992233,258022248,2962756,1619,4009,1601,36011715,30801914,5202594,1466,4059,1682,0
261092152,258130914,2954067,1600,3958,1613,36051923,30846886,5197833,1450,4074,1680,0
261192233,258239608,2945466,1579,3974,1606,36092186,30891667,5193284,1450,4101,1684,0
261292369,258348026,2937157,1607,3970,1609,36132347,30936455,5188661,1453,4082,1696,0
261392522,258456576,2928772,1627,3941,1606,36172672,30981085,5184385,1454,4067,1681,0
261492687,258565444,2920093,1604,3943,1603,36212918,31025673,5180045,1448,4093,1659,0
261593006,258674173,2911690,1595,3936,1612,36253058,31070274,5175583,1416,4120,1665,0
261693308,258783008,2903160,1605,3935,1600,36293182,31115001,5170976,1403,4152,1650,0
261793704,258891718,2894874,1600,3921,1591,36333428,31159246,5166954,1420,4148,1660,0
261894182,259000826,2886275,1615,3910,1556,36373687,31203678,5162781,1416,4137,1675,0
261994693,259109874,2877752,1610,3905,1552,36413993,31248273,5158477,1426,4133,1684,0
