"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250093013,245945013,4139034,1917,5001,2048,31440730,25549431,5884267,1158,4176,1698,0
250186024,246050447,4126603,1915,5008,2051,31481475,25598177,5876197,1179,4207,1715,0
250279108,246155954,4114191,1902,4993,2068,31522176,25646675,5868362,1203,4222,1714,0
250372339,246261820,4101535,1905,4993,2086,31562879,25695196,5860536,1209,4233,1705,0
250465543,246367397,4089190,1892,4985,2079,31603549,25743499,5852885,1208,4252,1705,0
250558838,246473197,4076700,1893,4960,2088,31644252,25791801,5845278,1227,4227,1719,0
250652207,246578578,4064656,1885,4995,2093,31684957,25840087,5837695,1232,4237,1706,0
250745582,246683840,4052744,1927,4981,2090,31725713,25888327,5830180,1268,4233,1705,0
250839013,246789353,4040653,1938,4977,2092,31766361,25936436,5822718,1292,4224,1691,0
250932521,246895029,4028443,1949,5014,2086,31806954,25984671,5815039,1307,4232,1705,0
251026133,247000243,4016815,1985,5004,2086,31847550,26032711,5807603,1289,4239,1708,0
251119732,247105944,4004745,1980,5017,2046,31888243,26080686,5800299,1307,4249,1702,0
251213444,247211577,3992877,1981,4973,2036,31928946,26128845,5792812,1308,4279,1702,0
251307242,247317044,3981202,1994,4960,2042,31969506,26176846,5785444,1304,4234,1678,0
251401111,247422804,3969356,2000,4913,2038,32010288,26224856,5778178,1335,4254,1665,0
251495016,247528321,3957773,2027,4882,2013,32050716,26272737,5770686,1351,4286,1656,0
251588926,247633950,3946021,2009,4926,2020,32091294,26320313,5763664,1377,4268,1672,0
251682834,247739878,3934031,1995,4933,1997,32131967,26368176,5756461,1363,4265,1702,0
251776967,247845603,3922428,1981,4962,1993,32172596,26416005,5749222,1354,4317,1698,0
251871187,247951482,3910777,1982,4985,1961,32213272,26463902,5741991,1348,4325,1706,0
251965397,248057269,3899181,1973,4972,2002,32253862,26511401,5735007,1356,4380,1718,0
252059637,248162904,3887681,1977,5061,2014,32294560,26558967,5728130,1372,4378,1713,0
252153909,248268735,3876146,1978,5043,2007,32335222,26606556,5721198,1393,4366,1709,0
252248270,248374397,3864791,1992,5065,2025,32375824,26654184,5714187,1371,4361,1721,0
252342677,248480292,3853305,1963,5063,2054,32416439,26701851,5707070,1388,4397,1733,0
252437183,248586129,3841974,1972,5062,2046,32457034,26749340,5700164,1404,4416,1710,0
252531711,248692135,3830492,1980,5054,2050,32497689,26796636,5693512,1407,4442,1692,0
252626321,248798030,3819201,1974,5074,2042,32538318,26844212,5686541,1422,4455,1688,0
252720990,248903685,3808242,1990,5048,2025,32578817,26891446,5679789,1426,4459,1697,0
252815818,249009506,3797227,1985,5066,2034,32619414,26938828,5673040,1437,4410,1699,0
252910664,249115473,3786140,1977,5035,2039,32659890,26986101,5666261,1442,4370,1716,0
253005507,249221425,3775053,1958,5035,2036,32700344,27033568,5659209,1448,4394,1725,0
253100509,249327565,3763938,1963,4998,2045,32740893,27080785,5652582,1444,4370,1712,0
253195490,249433583,3752928,1965,4993,2021,32781544,27127828,5646183,1429,4359,1745,0
253290541,249539557,3742052,1954,4971,2007,32822039,27174878,5639596,1439,4364,1762,0
253385595,249645785,3730940,1934,4933,2003,32862617,27222048,5632973,1436,4360,1800,0
253480734,249751956,3719891,1924,4951,2012,32903137,27269185,5626354,1441,4365,1792,0
253575959,249858071,3709060,1919,4913,1996,32943603,27316182,5619816,1442,4377,1786,0
253671258,249964266,3698153,1916,4931,1992,32984032,27363046,5613320,1473,4412,1781,0
253766621,250070480,3687378,1921,4884,1958,33024607,27410043,5606912,1463,4399,1790,0
253862023,250176665,3676593,1957,4872,1936,33065073,27457231,5600226,1433,4393,1790,0
253957462,250282929,3665784,1943,4868,1938,33105565,27504204,5593766,1448,4363,1784,0
254053011,250389353,3654955,1944,4841,1918,33146112,27551229,5587299,1436,4353,1795,0
254148630,250495526,3644372,1943,4848,1941,33186571,27598125,5580868,1441,4356,1781,0
254244356,250601783,3633864,1926,4840,1943,33227025,27644796,5574659,1456,4335,1779,0
254340017,250708327,3623008,1943,4796,1943,33267514,27691623,5568335,1431,4345,1780,0
254435764,250814985,3612083,1941,4821,1934,33308089,27738416,5562098,1441,4354,1780,0
