"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092978,245944852,4139134,1927,5004,2061,31440661,25549513,5884217,1108,4120,1703,0
250186052,246050353,4126702,1947,5005,2045,31481342,25598066,5876277,1150,4141,1708,0
250279059,246155709,4114375,1955,4969,2051,31521954,25646479,5868444,1176,4150,1705,0
250372255,246261326,4102007,1961,4942,2019,31562721,25694860,5860772,1195,4181,1713,0
250465457,246366791,4089756,1976,4924,2010,31603407,25743233,5853071,1233,4170,1700,0
250558691,246472282,4077492,1957,4941,2019,31644150,25791881,5845100,1245,4211,1713,0
250651964,246577752,4065285,1970,4941,2016,31684831,25840147,5837505,1264,4207,1708,0
250745308,246683258,4053156,1978,4931,1985,31725459,25888320,5829906,1281,4219,1733,0
250838730,246788826,4041001,1979,4921,2003,31766245,25936668,5822321,1303,4222,1731,0
250932277,246894461,4028906,1995,4903,2012,31806830,25984788,5814698,1330,4283,1731,0
251025863,247000222,4016810,1978,4869,1984,31847607,26032890,5807355,1330,4284,1748,0
251119375,247105768,4004732,1954,4896,2025,31888330,26080952,5799964,1353,4306,1755,0
251213147,247211436,3992893,1920,4882,2016,31928919,26129009,5792518,1356,4261,1775,0
251306859,247317271,3980797,1908,4852,2031,31969439,26176854,5785162,1368,4289,1766,0
251400620,247422691,3969107,1931,4845,2046,32010133,26224904,5777779,1382,4285,1783,0
251494539,247528504,3957236,1935,4835,2029,32050742,26272760,5770518,1424,4249,1791,0
251588426,247634266,3945423,1909,4810,2018,32091436,26320952,5763028,1420,4248,1788,0
251682432,247740354,3933374,1890,4817,1997,32131962,26368610,5755843,1452,4258,1799,0
251776499,247846338,3921449,1904,4807,2001,32172663,26416383,5748788,1440,4265,1787,0
251870644,247952327,3909612,1909,4816,1980,32213215,26464213,5741534,1445,4257,1766,0
251964800,248058357,3897765,1916,4803,1959,32253756,26512070,5734240,1421,4259,1766,0
252059065,248164275,3886083,1923,4811,1973,32294344,26559741,5727118,1424,4278,1783,0
252153407,248270361,3874306,1932,4828,1980,32334939,26607508,5719939,1390,4309,1793,0
252247760,248376199,3862814,1917,4853,1977,32375573,26654977,5713067,1385,4345,1799,0
252342125,248482076,3851283,1939,4862,1965,32416164,26702285,5706275,1403,4389,1812,0
252436573,248587943,3839852,1926,4881,1971,32456767,26749895,5699248,1390,4407,1827,0
252531127,248693786,3828531,1930,4899,1981,32497428,26797464,5692329,1392,4397,1846,0
252625763,248799845,3817083,1945,4901,1989,32538013,26844872,5685517,1381,4401,1842,0
252720407,248905980,3805578,1937,4922,1990,32578603,26892197,5678769,1409,4378,1850,0
252815110,249011975,3794303,1944,4908,1980,32619121,26939718,5671758,1423,4381,1841,0
252909905,249118042,3783073,1924,4911,1955,32659634,26987198,5664796,1423,4390,1827,0
253004805,249224151,3771881,1934,4880,1959,32700222,27034431,5658140,1427,4400,1824,0
253099678,249330140,3760801,1907,4862,1968,32740706,27081650,5651336,1448,4430,1842,0
253194629,249436053,3749880,1922,4808,1966,32781202,27128929,5644593,1437,4416,1827,0
253289623,249542423,3738512,1934,4812,1942,32821706,27176065,5637989,1443,4380,1829,0
253384743,249648455,3727584,1930,4830,1944,32862122,27223157,5631299,1445,4387,1834,0
253479873,249754626,3716547,1923,4826,1951,32902682,27270404,5624570,1454,4410,1844,0
253575041,249860888,3705474,1926,4803,1950,32943340,27317385,5618216,1456,4446,1837,0
253670287,249967178,3694458,1918,4790,1943,32983802,27364191,5611868,1471,4435,1837,0
253765574,250073552,3683415,1887,4778,1942,33024310,27411148,5605420,1469,4444,1829,0
253860964,250179760,3672597,1895,4788,1924,33064858,27458239,5598836,1472,4459,1852,0
253956391,250286128,3661630,1899,4812,1922,33105393,27505075,5592569,1493,4431,1825,0
254051871,250392275,3650965,1884,4815,1932,33145874,27551915,5586240,1469,4420,1830,0
254147473,250498501,3640373,1882,4799,1918,33186435,27598750,5580006,1476,4377,1826,0
254243173,250604905,3629649,1916,4789,1914,33226990,27645613,5573691,1463,4385,1838,0
254338904,250711405,3618888,1898,4774,1939,33267471,27692161,5567603,1469,4380,1858,0
254434703,250817940,3608140,1906,4786,1931,33308098,27739017,5561420,1475,4362,1824,0
254530558,250924603,3597342,1894,4798,1921,33348562,27785830,5555081,1448,4405,1798,0
254626425,251031212,3586616,1887,4795,1915,33389127,27832578,5548927,1447,4408,1767,0
254722288,251137706,3575946,1908,4797,1931,33429537,27879182,5542724,1443,4405,1783,0
254818298,251244257,3565434,1885,4793,1929,33470137,27925704,5536827,1443,4389,1774,0
254914369,251350676,3555094,1901,4771,1927,33510589,27972337,5530678,1435,4381,1758,0
255010507,251457341,3544596,1889,4772,1909,33551013,28018780,5524673,1454,4363,1743,0
255106728,251564055,3534135,1906,4714,1918,33591529,28065345,5518674,1458,4347,1705,0
255203002,251670679,3523872,1888,4674,1889,33631847,28111819,5512513,1463,4346,1706,0
255299318,251777415,3513464,1854,4696,1889,33672308,28158201,5506583,1454,4372,1698,0
255395669,251884211,3503048,1857,4665,1888,33712721,28204716,5500516,1451,4349,1689,0
255492125,251990799,3492939,1858,4642,1887,33753164,28251394,5494263,1457,4356,1694,0
255588668,252097753,3482586,1839,4610,1880,33793557,28297848,5488206,1468,4350,1685,0
255685192,252204709,3472172,1842,4590,1879,33833997,28344178,5482320,1440,4340,1719,0
255781780,252311607,3461857,1837,4599,1880,33874473,28390753,5476240,1455,4313,1712,0
255878440,252418532,3451643,1799,4606,1860,33914929,28437168,5470227,1457,4351,1726,0
255975216,252525455,3441510,1820,4582,1849,33955342,28483400,5464374,1457,4372,1739,0
256072035,252632250,3431526,1816,4587,1856,33995779,28529549,5458700,1467,4325,1738,0
256168882,252739187,3421501,1816,4539,1839,34036281,28575652,5453176,1464,4278,1711,0
256265787,252846179,3411396,1842,4513,1857,34076667,28621705,5447485,1468,4284,1725,0
256362777,252953092,3401461,1842,4523,1859,34117027,28667945,5441582,1441,4320,1739,0
256459824,253060284,3391365,1826,4506,1843,34157387,28713986,5435920,1443,4310,1728,0
256556980,253167370,3381427,1824,4516,1843,34197713,28759582,5430647,1439,4329,1716,0
256654278,253274621,3371523,1815,4495,1824,34238171,28805569,5425120,1433,4317,1732,0
256751498,253381652,3361769,1824,4447,1806,34278475,28851573,5419418,1440,4323,1721,0
256848781,253488738,3351990,1794,4459,1800,34318824,28897267,5414042,1438,4352,1725,0
256946230,253596001,3342212,1776,4448,1793,34359278,28943090,5408630,1449,4382,1727,0
257043692,253703105,3332577,1772,4448,1790,34399499,28988951,5402994,1450,4374,1730,0
257141113,253810142,3322989,1754,4442,1786,34439800,29034576,5397683,1461,4339,1741,0
257238658,253917457,3313266,1729,4403,1803,34480210,29080466,5392271,1472,4286,1715,0
257336321,254025067,3303325,1716,4413,1800,34520530,29126253,5386808,1474,4296,1699,0
257433960,254132437,3293659,1697,4391,1776,34560890,29171563,5381810,1477,4347,1693,0
257531709,254239732,3284177,1698,4340,1762,34601252,29217167,5376586,1467,4347,1685,0
257629532,254347205,3274579,1698,4311,1739,34641603,29262551,5371574,1463,4328,1687,0
257727397,254454582,3265040,1708,4313,1754,34681971,29307960,5366500,1474,4357,1680,0
257825317,254562354,3255224,1693,4324,1722,34722262,29353596,5361163,1490,4369,1644,0
257923336,254669832,3245733,1708,4333,1730,34762597,29399158,5355935,1464,4383,1657,0
258021347,254777546,3236064,1703,4306,1728,34802951,29444910,5350564,1459,4359,1659,0
258119439,254885133,3226564,1708,4315,1719,34843287,29490337,5345440,1460,4392,1658,0
258217612,254992589,3217313,1714,4284,1712,34883613,29535834,5340279,1477,4355,1668,0
258315900,255100405,3207816,1724,4250,1705,34924016,29581384,5335120,1470,4355,1687,0
258414170,255208198,3198302,1726,4234,1710,34964368,29626961,5329936,1466,4304,1701,0
258512474,255315997,3188888,1713,4198,1678,35004680,29671913,5325299,1486,4296,1686,0
258610840,255423629,3179633,1713,4186,1679,35045191,29717286,5320413,1494,4287,1711,0
258709352,255531625,3170153,1701,4192,1681,35085507,29762878,5315145,1486,4302,1696,0
258807922,255639544,3160846,1676,4176,1680,35125771,29808337,5309991,1491,4267,1685,0
258906583,255747514,3151549,1688,4144,1688,35166058,29853780,5304884,1491,4216,1687,0
259005279,255855442,3142335,1683,4127,1692,35206479,29898885,5300178,1488,4223,1705,0
259104005,255963329,3133187,1676,4116,1697,35246786,29944002,5295362,1484,4197,1741,0
259202831,256071246,3124166,1649,4076,1694,35287053,29989310,5290310,1483,4210,1740,0
259301615,256179261,3114992,1623,4064,1675,35327352,30034656,5285233,1487,4220,1756,0
259400487,256287499,3105653,1603,4062,1670,35367663,30079917,5280257,1496,4218,1775,0
259499472,256395731,3096404,1622,4048,1667,35408013,30125140,5275417,1490,4173,1793,0
259598528,256503906,3087256,1608,4049,1709,35448269,30170232,5270610,1492,4162,1773,0
259697630,256611976,3078307,1616,4051,1680,35488531,30215281,5265859,1518,4115,1758,0
259796769,256720213,3069225,1606,4041,1684,35528832,30260519,5260953,1498,4112,1750,0
259895972,256828628,3060115,1582,3956,1691,35569113,30305668,5256123,1455,4139,1728,0
259995279,256937066,3050997,1576,3958,1682,35609467,30350675,5251442,1448,4165,1737,0
260094718,257045390,3042099,1581,3966,1682,35649682,30395852,5246485,1436,4171,1738,0
260194158,257153693,3033235,1570,3992,1668,35689935,30440660,5241930,1442,4156,1747,0
260293598,257262066,3024290,1587,3996,1659,35730253,30485532,5237395,1439,4145,1742,0
260393206,257370585,3015359,1591,4016,1655,35770500,30530587,5232590,1420,4163,1740,0
260492859,257479108,3006470,1581,4037,1663,35810759,30575556,5227932,1419,4151,1701,0
260592503,257587877,2997344,1583,4025,1674,35851156,30620208,5223674,1423,4152,1699,0
260692207,257696362,2988560,1572,4042,1671,35891480,30665163,5219026,1413,4160,1718,0
260792001,257804900,2979832,1561,4055,1653,35931714,30709928,5214522,1406,4151,1707,0
260891832,257913454,2971113,1553,4064,1648,35971967,30754557,5210123,1401,4184,1702,0
260991738,258022149,2962328,1567,4054,1640,36012275,30799186,5205807,1394,4195,1693,0
261091754,258130818,2953649,1598,4056,1633,36052508,30844018,5201192,1417,4203,1678,0
261191794,258239528,2945027,1584,4038,1617,36092755,30888636,5196804,1415,4217,1683,0
261291845,258348206,2936401,1598,4042,1598,36133088,30933163,5192624,1422,4195,1684,0
261392057,258457071,2927759,1600,4031,1596,36173290,30977808,5188228,1419,4156,1679,0
261492270,258565922,2919160,1583,4006,1599,36213435,31022647,5183567,1423,4130,1668,0
261592527,258674683,2910668,1583,3998,1595,36253681,31067186,5179308,1421,4106,1660,0
261692875,258783503,2902191,1595,4001,1585,36293904,31111754,5174938,1419,4126,1667,0
261793326,258892449,2893700,1589,3995,1593,36334166,31156345,5170576,1430,4120,1695,0
261893823,259001277,2885401,1560,3990,1595,36374307,31200709,5166348,1445,4117,1688,0
261994360,259110234,2877028,1567,3950,1581,36414546,31245272,5162027,1443,4116,1688,0
262094934,259219220,2868658,1547,3910,1599,36454804,31289662,5157867,1447,4152,1676,0
262195551,259328140,2860374,1568,3869,1600,36495118,31334288,5153522,1448,4171,1689,0
262296296,259437090,2852164,1560,3881,1601,36535330,31378745,5149286,1456,4157,1686,0
262397066,259546203,2843886,1536,3841,1600,36575490,31422894,5145278,1464,4149,1705,0
262497907,259655260,2835709,1569,3771,1598,36615705,31467285,5141115,1482,4137,1686,0
262598822,259764550,2827383,1541,3758,1590,36655989,31511857,5136858,1465,4121,1688,0
262699770,259873774,2819153,1534,3722,1587,36696071,31556168,5132607,1472,4150,1674,0
262800897,259982892,2811192,1508,3727,1578,36736254,31600472,5128463,1491,4154,1674,0
262902054,260092370,2802906,1507,3706,1565,36776483,31644756,5124400,1475,4172,1680,0
263003091,260201781,2794539,1493,3704,1574,36816585,31688866,5120417,1459,4171,1672,0
263104348,260311171,2786445,1472,3688,1572,36856764,31733065,5116443,1437,4149,1670,0
263205577,260420553,2778277,1480,3685,1582,36896871,31777293,5112347,1418,4161,1652,0
263306906,260530069,2770102,1484,3693,1558,36936993,31821655,5108160,1420,4103,1655,0
263408344,260639716,2761938,1463,3664,1563,36977165,31865676,5104348,1401,4077,1663,0
263509804,260749327,2753795,1483,3652,1547,37017315,31909861,5100326,1391,4070,1667,0
263611246,260859034,2745635,1470,3597,1510,37057558,31954143,5096302,1379,4078,1656,0
263712880,260968460,2737786,1470,3657,1507,37097620,31998217,5092281,1412,4040,1670,0
263814621,261078107,2729900,1448,3662,1504,37137768,32042217,5088411,1397,4057,1686,0
263916342,261187906,2721836,1433,3649,1518,37177908,32086286,5084477,1396,4075,1674,0
264018105,261297784,2713719,1421,3664,1517,37218006,32130399,5080467,1397,4057,1686,0
264119957,261407629,2705750,1438,3627,1513,37258099,32174296,5076620,1420,4060,1703,0
264221818,261517541,2697708,1411,3638,1520,37298334,32218305,5072863,1436,4034,1696,0
264323823,261627511,2689783,1423,3601,1505,37338530,32262366,5068987,1430,4034,1713,0
264425917,261737522,2681946,1416,3548,1485,37378787,32306480,5065176,1411,3999,1721,0
264528015,261847418,2674143,1431,3550,1473,37418907,32350357,5061397,1400,4027,1726,0
264630175,261957471,2666262,1422,3548,1472,37459023,32394104,5057729,1401,4055,1734,0
264732345,262067530,2658392,1421,3535,1467,37499243,32438070,5054013,1382,4031,1747,0
264834639,262177710,2650546,1417,3507,1459,37539362,32481733,5050454,1390,4040,1745,0
264936999,262287852,2642782,1416,3483,1466,37579399,32525507,5046774,1361,4020,1737,0
265039403,262398068,2634960,1412,3493,1470,37619561,32569209,5043224,1365,4023,1740,0
265141799,262508370,2627048,1409,3513,1459,37659710,32612898,5039701,1382,3990,1739,0
265244314,262618585,2619357,1408,3515,1449,37699820,32656808,5035901,1378,4008,1725,0
265346928,262728941,2611629,1392,3521,1445,37739919,32700489,5032321,1398,4000,1711,0
265449574,262839342,2603901,1389,3509,1433,37780115,32744160,5028855,1413,3983,1704,0
265552279,262949726,2596237,1408,3472,1436,37820307,32788049,5025215,1413,3963,1667,0
