"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092919,245944762,4139145,1949,5022,2041,31440641,25549512,5884186,1158,4111,1674,0
250185915,246050162,4126719,1977,5019,2038,31481239,25597983,5876243,1199,4134,1680,0
250278977,246155786,4114171,1959,5036,2025,31522032,25646332,5868621,1246,4153,1680,0
250372022,246261408,4101567,1966,5014,2067,31562795,25694878,5860839,1274,4141,1663,0
250465263,246366804,4089433,1967,5022,2037,31603394,25743184,5853132,1281,4134,1663,0
250558524,246472247,4077251,1982,5018,2026,31644073,25791500,5845533,1265,4133,1642,0
250651805,246577829,4064971,1976,5001,2028,31684677,25840079,5837488,1267,4177,1666,0
250745206,246683464,4052783,1972,4951,2036,31725373,25888513,5829775,1258,4159,1668,0
250838715,246789039,4040764,1961,4923,2028,31766054,25936719,5822246,1267,4165,1657,0
250932209,246894801,4028514,1933,4920,2041,31806598,25984718,5814744,1282,4182,1672,0
251025729,247000629,4016217,1921,4940,2022,31847247,26032702,5807394,1278,4192,1681,0
251119302,247106311,4004122,1909,4933,2027,31887958,26080985,5799728,1294,4258,1693,0
251212984,247212087,3992014,1874,4965,2044,31928641,26128962,5792425,1291,4282,1681,0
251306715,247317435,3980392,1875,4984,2029,31969355,26176925,5785132,1315,4285,1698,0
251400548,247423087,3968614,1870,4944,2033,32010008,26225028,5777699,1349,4229,1703,0
251494434,247528788,3956777,1862,4961,2046,32050616,26272952,5770363,1353,4223,1725,0
251588356,247634469,3945046,1856,4941,2044,32091322,26320944,5763015,1362,4242,1759,0
251682365,247740118,3933404,1877,4911,2055,32132046,26368817,5755867,1352,4258,1752,0
251776448,247846133,3921515,1879,4893,2028,32172631,26417095,5748178,1335,4268,1755,0
251870488,247951841,3909873,1905,4854,2015,32213271,26464910,5740934,1350,4311,1766,0
251964709,248057700,3898266,1868,4871,2004,32253876,26512544,5733944,1340,4286,1762,0
252058965,248163646,3886591,1858,4887,1983,32294450,26560294,5726762,1353,4276,1765,0
252153170,248269404,3875044,1881,4856,1985,32334992,26607798,5719752,1360,4276,1806,0
252247538,248375256,3863567,1901,4806,2008,32375606,26655758,5712408,1377,4256,1807,0
252341907,248481241,3852001,1894,4783,1988,32416159,26703345,5705365,1369,4282,1798,0
252436375,248587295,3840421,1893,4774,1992,32456755,26750771,5698524,1376,4285,1799,0
252530910,248693372,3828888,1884,4766,2000,32497300,26798315,5691482,1380,4302,1821,0
252625559,248799141,3817761,1862,4799,1996,32537847,26846177,5684142,1427,4291,1810,0
252720251,248905239,3806354,1841,4810,2007,32578379,26893696,5677176,1401,4302,1804,0
252814958,249011303,3794981,1862,4816,1996,32618945,26941260,5670196,1401,4277,1811,0
252909727,249117428,3783653,1870,4803,1973,32659557,26988810,5663246,1401,4275,1825,0
253004547,249223515,3772398,1863,4790,1981,32700050,27036294,5656254,1397,4290,1815,0
253099475,249329602,3761248,1868,4777,1980,32740679,27083613,5649506,1407,4321,1832,0
253194471,249435573,3750262,1903,4773,1960,32781138,27130767,5642821,1411,4286,1853,0
253289537,249541455,3739460,1875,4780,1967,32821695,27177668,5636473,1402,4294,1858,0
253384587,249647700,3728305,1875,4766,1941,32862207,27224874,5629825,1369,4277,1862,0
253479718,249754032,3717081,1873,4801,1931,32902745,27272040,5623143,1376,4331,1855,0
253574952,249860030,3706335,1841,4835,1911,32943254,27318918,5616732,1404,4332,1868,0
253670194,249966326,3695316,1855,4806,1891,32983818,27365845,5610365,1414,4326,1868,0
253765526,250072610,3684409,1854,4769,1884,33024435,27413007,5603820,1419,4333,1856,0
253860929,250178836,3673621,1825,4760,1887,33064945,27459983,5597408,1424,4298,1832,0
253956449,250285109,3662929,1844,4712,1855,33105543,27506880,5591116,1400,4323,1824,0
254052033,250391353,3652230,1843,4734,1873,33145912,27553940,5584394,1400,4355,1823,0
254147594,250497557,3641585,1864,4730,1858,33186343,27600526,5578254,1385,4343,1835,0
254243297,250604041,3630826,1860,4736,1834,33226810,27647261,5572047,1401,4307,1794,0
254338995,250710656,3619926,1871,4715,1827,33267281,27694127,5565698,1397,4271,1788,0
254434750,250817140,3609203,1880,4704,1823,33307777,27740616,5559696,1422,4253,1790,0
254530575,250923292,3598844,1878,4728,1833,33348286,27787292,5553516,1412,4293,1773,0
254626481,251029717,3588361,1884,4721,1798,33388807,27833664,5547649,1410,4306,1778,0
254722506,251136420,3577694,1891,4719,1782,33429244,27880008,5541687,1425,4320,1804,0
254818540,251242968,3567163,1886,4719,1804,33469634,27926657,5535443,1424,4331,1779,0
254914624,251349582,3556649,1889,4703,1801,33510105,27973287,5529300,1420,4334,1764,0
255010718,251456148,3546203,1836,4723,1808,33550599,28019879,5523196,1434,4309,1781,0
255106988,251562865,3535727,1836,4720,1840,33591051,28066510,5517041,1418,4286,1796,0
255203240,251669545,3525272,1844,4724,1855,33631573,28112890,5511167,1424,4304,1788,0
255299487,251776234,3514847,1842,4704,1860,33672116,28159651,5504967,1429,4314,1755,0
255395896,251882742,3504756,1843,4697,1858,33712471,28205621,5499375,1428,4309,1738,0
255492425,251989432,3494605,1835,4707,1846,33752998,28252051,5493482,1431,4299,1735,0
255588944,252096172,3484434,1837,4654,1847,33793363,28298332,5487569,1414,4288,1760,0
255685576,252202945,3474316,1824,4651,1840,33833705,28344899,5481346,1403,4301,1756,0
255782206,252309916,3463958,1834,4635,1863,33874175,28391134,5475579,1404,4293,1765,0
255878943,252416926,3453734,1836,4589,1858,33914696,28437198,5470002,1404,4312,1780,0
255975721,252523736,3443723,1849,4582,1831,33955127,28483252,5464327,1442,4336,1770,0
256072590,252630618,3433788,1843,4526,1815,33995495,28529465,5458488,1453,4308,1781,0
256169412,252737598,3423657,1821,4533,1803,34035897,28575792,5452563,1456,4306,1780,0
256266310,252844481,3413639,1840,4561,1789,34076253,28621887,5446801,1451,4322,1792,0
256363279,252951677,3403407,1825,4564,1806,34116735,28668006,5441201,1461,4288,1779,0
256460327,253058738,3393391,1844,4544,1810,34157157,28714028,5435564,1450,4337,1778,0
256557417,253165967,3383321,1829,4504,1796,34197547,28759855,5430126,1454,4342,1770,0
256654512,253273249,3373185,1832,4459,1787,34238003,28806030,5424439,1438,4344,1752,0
256751799,253380428,3363284,1834,4486,1767,34278486,28851785,5419136,1442,4350,1773,0
256849127,253487627,3353399,1831,4505,1765,34318914,28897751,5413552,1460,4366,1785,0
256946437,253594803,3343553,1828,4476,1777,34359320,28943650,5408071,1438,4357,1804,0
257043916,253702139,3333739,1802,4466,1770,34399700,28989286,5402837,1449,4346,1782,0
257141401,253809460,3323904,1804,4460,1773,34440054,29035302,5397176,1426,4369,1781,0
257238991,253916816,3314132,1823,4452,1768,34480509,29081248,5391727,1415,4353,1766,0
257336648,254024291,3304326,1799,4465,1767,34520993,29127102,5386369,1398,4362,1762,0
257434330,254131730,3294618,1773,4441,1768,34561439,29173033,5380878,1410,4336,1782,0
257532029,254239122,3284935,1778,4419,1775,34601712,29218776,5375444,1402,4329,1761,0
257629813,254346584,3275263,1775,4421,1770,34642170,29264281,5370409,1407,4335,1738,0
257727683,254454071,3265704,1778,4378,1752,34682573,29309817,5365295,1426,4315,1720,0
257825654,254561625,3256149,1788,4337,1755,34722914,29355653,5359805,1441,4311,1704,0
257923656,254669282,3246547,1751,4314,1762,34763276,29401217,5354597,1445,4301,1716,0
258021734,254776784,3237114,1751,4330,1755,34803634,29446701,5349480,1447,4284,1722,0
258119896,254884521,3227589,1745,4292,1749,34843937,29492330,5344173,1436,4301,1697,0
258217968,254991903,3218324,1720,4271,1750,34884200,29538138,5338641,1447,4269,1705,0
258316225,255099508,3208977,1699,4283,1758,34924495,29583875,5333236,1447,4232,1705,0
258414554,255207249,3199586,1718,4268,1733,34964842,29629265,5328135,1451,4290,1701,0
258512889,255315006,3190206,1719,4239,1719,35005154,29674533,5323173,1460,4271,1717,0
258611319,255422650,3181048,1707,4213,1701,35045503,29719948,5318100,1469,4273,1713,0
258709829,255530579,3171647,1695,4211,1697,35085923,29765406,5313038,1445,4297,1737,0
258808341,255638595,3162181,1692,4197,1676,35126347,29810604,5308225,1447,4309,1762,0
258906982,255746597,3152847,1672,4196,1670,35166691,29855871,5303316,1426,4337,1741,0
259005637,255854458,3143659,1684,4160,1676,35206989,29900846,5298592,1421,4372,1758,0
259104378,255962493,3134456,1677,4103,1649,35247243,29946169,5293527,1437,4355,1755,0
259203193,256070511,3125326,1671,4036,1649,35287636,29991440,5288591,1421,4405,1779,0
259302085,256178691,3116073,1643,4027,1651,35327855,30036432,5283794,1442,4427,1760,0
259401066,256286750,3107029,1630,4003,1654,35368093,30081398,5279052,1472,4406,1765,0
259500105,256394911,3097946,1631,3960,1657,35408449,30126562,5274217,1469,4432,1769,0
259599027,256503117,3088692,1615,3951,1652,35448621,30171519,5269421,1491,4396,1794,0
259698174,256611498,3079498,1602,3940,1636,35488931,30216272,5264994,1502,4385,1778,0
259797314,256719727,3070456,1603,3909,1619,35529117,30261240,5260223,1509,4392,1753,0
259896592,256827820,3061637,1612,3900,1623,35569297,30306411,5255250,1501,4391,1744,0
259995928,256936341,3052431,1602,3934,1620,35609516,30351350,5250566,1496,4369,1735,0
260095288,257044753,3043415,1595,3927,1598,35649776,30396360,5245796,1511,4366,1743,0
260194795,257153160,3034557,1581,3924,1573,35690083,30441388,5241074,1537,4353,1731,0
260294276,257261595,3025616,1592,3902,1571,35730267,30486182,5236457,1525,4344,1759,0
260393830,257370260,3016488,1572,3928,1582,35770582,30530949,5232053,1515,4358,1707,0
