"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250093010,245944778,4139257,1939,4974,2062,31440710,25549374,5884367,1145,4139,1685,0
250185989,246050229,4126797,1934,4958,2071,31481325,25597895,5876403,1170,4194,1663,0
250279100,246155824,4114323,1939,4952,2062,31522009,25646532,5868458,1181,4165,1673,0
250372196,246261184,4102094,1938,4910,2070,31562668,25695055,5860541,1200,4183,1689,0
250465384,246366656,4089804,1923,4934,2067,31603389,25743698,5852621,1197,4197,1676,0
250558759,246472308,4077529,1905,4959,2058,31644183,25792238,5844861,1187,4218,1679,0
250652024,246577676,4065377,1938,4996,2037,31684877,25840824,5836952,1204,4206,1691,0
250745426,246683319,4053138,1953,4981,2035,31725544,25888690,5829717,1211,4261,1665,0
250838929,246788959,4040983,1957,4990,2040,31766317,25936919,5822266,1224,4222,1686,0
250932451,246894595,4028905,1948,4952,2051,31806932,25985313,5814414,1248,4258,1699,0
251026003,247000230,4016780,1981,4970,2042,31847575,26033547,5806817,1274,4231,1706,0
251119736,247105748,4004989,1988,4971,2040,31888294,26081585,5799455,1295,4232,1727,0
251213462,247211358,3993142,1959,4976,2027,31928955,26129443,5792210,1294,4249,1759,0
251307234,247317005,3981316,1959,4930,2024,31969545,26177505,5784725,1328,4213,1774,0
251400982,247422758,3969304,1961,4944,2015,32010153,26225676,5777134,1331,4243,1769,0
251494860,247528300,3957639,1965,4950,2006,32050759,26273668,5769764,1317,4245,1765,0
251588790,247634059,3945819,1926,4957,2029,32091341,26321610,5762375,1338,4266,1752,0
251682814,247739703,3934218,1935,4954,2004,32132006,26369454,5755178,1365,4266,1743,0
251776848,247845467,3922485,1928,4954,2014,32172576,26417439,5747739,1387,4244,1767,0
251870933,247951074,3910975,1938,4948,1998,32213219,26465466,5740373,1378,4237,1765,0
251965121,248056887,3899343,1927,4939,2025,32253817,26513385,5733026,1368,4263,1775,0
252059296,248162669,3887749,1925,4934,2019,32294437,26561144,5725872,1380,4270,1771,0
252153644,248268541,3876259,1910,4925,2009,32335030,26608632,5719011,1345,4275,1767,0
252248029,248374400,3864838,1898,4905,1988,32375590,26656453,5711767,1346,4273,1751,0
252342529,248480400,3853348,1892,4892,1997,32416187,26704244,5704598,1337,4261,1747,0
252437078,248586544,3841790,1901,4827,2016,32456889,26751711,5697829,1335,4269,1745,0
252531518,248692586,3830198,1901,4827,2006,32497497,26799296,5690867,1354,4250,1730,0
252626044,248798451,3818870,1912,4816,1995,32538142,26846716,5684065,1368,4257,1736,0
252720675,248904335,3807617,1887,4824,2012,32578702,26894120,5677195,1367,4270,1750,0
252815455,249010483,3796262,1887,4824,1999,32619238,26941623,5670226,1392,4258,1739,0
252910265,249116367,3785214,1913,4812,1959,32659799,26988983,5663380,1409,4266,1761,0
