"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092933,245944539,4139398,1951,4975,2070,31440760,25549363,5884407,1138,4183,1669,0
250186015,246049884,4127118,1943,5005,2065,31481483,25597533,5876906,1180,4181,1683,0
250279066,246155382,4114676,1943,5025,2040,31522180,25645791,5869253,1209,4227,1700,0
250372190,246260890,4102262,1943,5026,2069,31562792,25694334,5861312,1214,4218,1714,0
250465326,246366327,4089979,1948,5032,2040,31603445,25742831,5853416,1234,4239,1725,0
250558547,246471701,4077793,1951,5054,2048,31644068,25791133,5845717,1262,4243,1713,0
250651930,246577111,4065828,1935,5031,2025,31684746,25839423,5838086,1268,4240,1729,0
250745335,246682774,4053614,1896,5029,2022,31725443,25887787,5830361,1270,4296,1729,0
250838739,246787914,4041895,1896,5045,1989,31766078,25936053,5822703,1266,4293,1763,0
250932340,246893311,4030071,1943,5037,1978,31806815,25984271,5815194,1297,4294,1759,0
251025939,246998916,4018096,1928,5017,1982,31847435,26032267,5807812,1318,4276,1762,0
251119569,247104620,4006046,1925,5027,1951,31887991,26080609,5799998,1316,4292,1776,0
251213305,247210281,3994116,1911,5015,1982,31928668,26128633,5792646,1313,4294,1782,0
251307125,247316055,3982155,1917,5005,1993,31969363,26176462,5785449,1348,4327,1777,0
251400922,247421676,3970381,1911,4968,1986,32009977,26224187,5778296,1383,4325,1786,0
251494773,247527410,3958496,1922,4955,1990,32050590,26272240,5770862,1369,4319,1800,0
251588635,247632997,3946765,1906,4984,1983,32091266,26320085,5763663,1375,4344,1799,0
251682660,247738680,3935102,1924,4964,1990,32131874,26367897,5756436,1389,4346,1806,0
251776747,247844401,3923488,1942,4933,1983,32172432,26415669,5749188,1397,4383,1795,0
251870908,247950160,3911906,1937,4917,1988,32213002,26463372,5742088,1401,4353,1788,0
251965024,248056058,3900126,1926,4912,2002,32253546,26511276,5734759,1400,4344,1767,0
252059319,248162042,3888479,1908,4918,1972,32294198,26558897,5727794,1396,4332,1779,0
252153601,248267976,3876827,1909,4924,1965,32334799,26606629,5720620,1401,4353,1796,0
252247936,248373767,3865338,1917,4934,1980,32375440,26654077,5713780,1435,4339,1809,0
252342346,248479832,3853718,1920,4918,1958,32415998,26701373,5707042,1427,4350,1806,0
252436911,248585878,3842253,1931,4892,1957,32456601,26748997,5699973,1451,4381,1799,0
252531523,248691961,3830849,1908,4860,1945,32497157,26796478,5693041,1444,4403,1791,0
252626202,248798150,3819394,1888,4842,1928,32537835,26844067,5686115,1438,4428,1787,0
252720851,248904085,3808101,1881,4870,1914,32578310,26891647,5679056,1418,4406,1783,0
252815510,249010027,3796838,1882,4848,1915,32618931,26938861,5672424,1419,4437,1790,0
252910307,249115975,3785657,1897,4845,1933,32659553,26985953,5665953,1441,4424,1782,0
253005214,249222351,3774238,1894,4803,1928,32700080,27033352,5659097,1451,4412,1768,0
253100151,249328544,3762999,1923,4763,1922,32740666,27080470,5652555,1442,4420,1779,0
253195184,249434565,3751994,1904,4772,1949,32781297,27127498,5646152,1439,4416,1792,0
253290165,249540803,3740714,1896,4771,1981,32821788,27174940,5639211,1466,4396,1775,0
253385301,249647019,3729611,1885,4769,2017,32862308,27222014,5632668,1476,4381,1769,0
253480463,249753111,3718654,1888,4778,2032,32902805,27269118,5626035,1476,4398,1778,0
253575731,249859446,3707635,1870,4773,2007,32943358,27316484,5619207,1488,4367,1812,0
253671083,249965680,3696760,1878,4759,2006,32983780,27363341,5612791,1482,4374,1792,0
253766433,250072153,3685689,1874,4723,1994,33024302,27410400,5606236,1464,4401,1801,0
253861850,250178523,3674730,1887,4735,1975,33064876,27457180,5600027,1472,4387,1810,0
253957342,250284939,3663815,1899,4720,1969,33105427,27504078,5593682,1476,4401,1790,0
254052821,250391362,3652926,1902,4692,1939,33145885,27550665,5587528,1503,4391,1798,0
254148349,250497762,3642102,1898,4671,1916,33186367,27597490,5581194,1503,4398,1782,0
254243961,250604211,3631244,1892,4693,1921,33226988,27644425,5574881,1496,4399,1787,0
254339727,250710650,3620592,1878,4683,1924,33267389,27691232,5568458,1474,4432,1793,0
254435476,250817115,3609866,1891,4697,1907,33307992,27737988,5562334,1455,4425,1790,0
254531294,250923672,3599140,1863,4686,1933,33348653,27784738,5556228,1455,4443,1789,0
254627123,251030206,3588496,1866,4644,1911,33389013,27831414,5549934,1452,4421,1792,0
254723018,251136709,3577861,1856,4672,1920,33429451,27878080,5543726,1443,4424,1778,0
254819052,251243182,3567433,1843,4680,1914,33469830,27924908,5537310,1441,4411,1760,0
254915170,251349837,3556919,1843,4669,1902,33510305,27971397,5531319,1438,4385,1766,0
255011330,251456575,3546382,1842,4636,1895,33550715,28017882,5525216,1429,4405,1783,0
255107560,251563282,3535896,1834,4652,1896,33591236,28064574,5519050,1466,4368,1778,0
255203814,251669900,3525543,1835,4628,1908,33631659,28111171,5512935,1439,4338,1776,0
255300181,251776671,3515134,1846,4627,1903,33672170,28157692,5506929,1437,4353,1759,0
255396502,251883511,3504671,1840,4593,1887,33712493,28204248,5500716,1427,4353,1749,0
255492957,251990520,3494192,1809,4549,1887,33752850,28250556,5494749,1420,4366,1759,0
255589415,252097448,3483677,1815,4549,1926,33793359,28296883,5488938,1440,4338,1760,0
255686035,252204554,3473223,1811,4547,1900,33833827,28343250,5483046,1441,4346,1744,0
255782666,252311390,3463049,1814,4534,1879,33874316,28389482,5477273,1440,4363,1758,0
255879263,252418242,3452802,1785,4524,1910,33914699,28435594,5471516,1427,4399,1763,0
255975989,252525108,3442675,1795,4515,1896,33955177,28481929,5465656,1436,4401,1755,0
