"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092992,245944881,4139118,1953,4987,2053,31440746,25549508,5884258,1151,4141,1688,0
250186010,246050295,4126763,1947,4962,2043,31481362,25597860,5876487,1171,4146,1698,0
250279157,246155817,4114397,1947,4958,2038,31522069,25646388,5868631,1207,4144,1699,0
250372221,246261365,4101872,1973,4980,2031,31562773,25694999,5860724,1222,4121,1707,0
250465394,246366988,4089451,1981,4950,2024,31603404,25743256,5853056,1248,4130,1714,0
250558727,246472473,4077268,1972,4977,2037,31644195,25791595,5845455,1271,4159,1715,0
250651968,246577838,4065128,1961,4991,2050,31684771,25839825,5837761,1288,4179,1718,0
250745360,246683371,4053019,1961,4947,2062,31725392,25888092,5830161,1273,4171,1695,0
250838766,246789256,4040550,1958,4959,2043,31766025,25936263,5822604,1280,4182,1696,0
250932263,246894781,4028517,1928,4977,2060,31806791,25984279,5815328,1288,4189,1707,0
251025814,247000486,4016390,1925,4939,2074,31847398,26032391,5807806,1294,4189,1718,0
251119498,247106094,4004473,1922,4940,2069,31888108,26080831,5800090,1301,4176,1710,0
251213208,247211584,3992682,1944,4930,2068,31928695,26128803,5792645,1329,4189,1729,0
251306988,247317346,3980681,1959,4926,2076,31969363,26176898,5785191,1316,4235,1723,0
251400756,247423196,3968593,1968,4928,2071,32009929,26224949,5777704,1311,4221,1744,0
251494672,247528942,3956771,1967,4925,2067,32050576,26272943,5770338,1310,4223,1762,0
251588619,247634629,3945027,1961,4947,2055,32091268,26321195,5762792,1329,4205,1747,0
251682749,247740368,3933470,1959,4918,2034,32131883,26369278,5755299,1348,4194,1764,0
251776793,247846060,3921806,1970,4934,2023,32172419,26417090,5747981,1352,4218,1778,0
251870982,247952005,3910063,1944,4942,2028,32212989,26464801,5740823,1362,4226,1777,0
251965186,248057724,3898548,1939,4946,2029,32253543,26512534,5733635,1363,4231,1780,0
252059398,248163532,3886958,1904,4967,2037,32294135,26560391,5726355,1348,4242,1799,0
252153704,248269383,3875449,1894,4941,2037,32334761,26607934,5719424,1373,4220,1810,0
252248026,248375161,3863963,1910,4942,2050,32375282,26655663,5712249,1378,4197,1795,0
252342451,248481081,3852508,1916,4894,2052,32415781,26703233,5705158,1378,4223,1789,0
252436917,248586992,3841045,1915,4895,2070,32456453,26750835,5698233,1374,4223,1788,0
252531370,248693192,3829321,1902,4894,2061,32497117,26798438,5691256,1385,4233,1805,0
252625987,248799063,3818098,1909,4869,2048,32537602,26845787,5684343,1378,4295,1799,0
252720723,248905016,3806927,1915,4820,2045,32578222,26893145,5677611,1377,4315,1774,0
252815427,249011016,3795674,1912,4797,2028,32618711,26940701,5670477,1380,4345,1808,0
252910234,249117202,3784353,1914,4744,2021,32659249,26988137,5663560,1363,4379,1810,0
253005187,249223404,3773093,1920,4745,2025,32699764,27035353,5656875,1372,4355,1809,0
253100127,249329519,3761941,1905,4755,2007,32740277,27082583,5650155,1385,4366,1788,0
253195103,249435542,3750887,1903,4743,2028,32780805,27129951,5643342,1376,4369,1767,0
253290099,249541720,3739721,1903,4739,2016,32821266,27177242,5636499,1368,4377,1780,0
253385264,249647964,3728646,1920,4733,2001,32861798,27224520,5629796,1364,4356,1762,0
253480396,249754148,3717577,1917,4760,1994,32902244,27271445,5623287,1381,4360,1771,0
253575581,249860483,3706474,1922,4722,1980,32942861,27318250,5617129,1382,4343,1757,0
253670816,249966816,3695433,1911,4688,1968,32983495,27365301,5610682,1400,4352,1760,0
253766175,250073093,3684550,1870,4710,1952,33024031,27412224,5604284,1392,4355,1776,0
253861688,250179231,3673900,1864,4723,1970,33064513,27459337,5597659,1383,4355,1779,0
253957160,250285778,3662855,1832,4685,2010,33105078,27506076,5591474,1377,4355,1796,0
254052717,250392031,3652156,1842,4694,1994,33145644,27553363,5584732,1371,4362,1816,0
254148228,250498405,3641313,1864,4677,1969,33186113,27600335,5578235,1388,4350,1805,0
254243922,250604843,3630581,1809,4691,1998,33226652,27647007,5572126,1392,4339,1788,0
254339676,250711246,3619957,1830,4688,1955,33267058,27693871,5565687,1397,4326,1777,0
254435352,250817637,3609272,1845,4643,1955,33307462,27740487,5559460,1376,4323,1816,0
254531199,250924127,3598622,1838,4642,1970,33347978,27787532,5552935,1376,4315,1820,0
254627003,251030783,3587849,1835,4607,1929,33388411,27834155,5546734,1373,4337,1812,0
254722883,251137379,3577146,1832,4596,1930,33428978,27880629,5540857,1383,4316,1793,0
