"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092944,245944911,4139056,1950,4972,2055,31440678,25549481,5884182,1133,4159,1723,0
250185943,246050324,4126647,1958,4954,2060,31481439,25598241,5876117,1157,4185,1739,0
250279009,246155758,4114279,1970,4943,2059,31522224,25646694,5868407,1172,4203,1748,0
250372091,246261331,4101779,1968,4932,2081,31562854,25695009,5860661,1215,4214,1755,0
250465313,246367098,4089244,1920,4950,2101,31603531,25743249,5853042,1234,4239,1767,0
250558530,246472653,4076892,1905,4969,2111,31644284,25791597,5845406,1257,4240,1784,0
250651864,246578115,4064730,1917,4959,2143,31684924,25839756,5837837,1269,4254,1808,0
250745230,246683448,4052775,1923,4942,2142,31725606,25887881,5830381,1305,4251,1788,0
250838658,246788898,4040799,1910,4953,2098,31766323,25936220,5822747,1311,4264,1781,0
250932166,246894358,4028847,1882,4950,2129,31807060,25984441,5815251,1317,4271,1780,0
251025861,246999989,4016936,1880,4933,2123,31847660,26032729,5807541,1343,4265,1782,0
251119483,247105677,4004854,1901,4917,2134,31888336,26080726,5800145,1349,4318,1798,0
251213159,247211493,3992792,1873,4891,2110,31929047,26129173,5792408,1353,4326,1787,0
251306884,247317196,3980801,1905,4892,2090,31969565,26177208,5784891,1360,4321,1785,0
251400728,247423049,3968834,1909,4843,2093,32010284,26224963,5777842,1379,4304,1796,0
251494617,247528559,3957217,1895,4841,2105,32050862,26272900,5770447,1396,4315,1804,0
251588575,247634555,3945253,1894,4789,2084,32091431,26320677,5763203,1410,4336,1805,0
251682542,247740258,3933545,1882,4782,2075,32132094,26368562,5755971,1429,4311,1821,0
251776634,247845932,3921980,1876,4759,2087,32172630,26416340,5748697,1410,4356,1827,0
251870761,247951880,3910177,1871,4748,2085,32213163,26464049,5741469,1418,4379,1848,0
251965025,248057971,3898340,1871,4754,2089,32253786,26511749,5734388,1411,4418,1820,0
252059234,248163983,3886587,1845,4740,2079,32294417,26559492,5727204,1427,4453,1841,0
252153578,248270084,3874876,1853,4679,2086,32335011,26607072,5720211,1421,4496,1811,0
252247998,248376110,3863257,1870,4679,2082,32375547,26654664,5713130,1436,4477,1840,0
252342430,248482189,3851622,1892,4651,2076,32416149,26702226,5706189,1430,4473,1831,0
252436940,248588306,3840011,1862,4672,2089,32456680,26749575,5699339,1432,4487,1847,0
252531496,248694469,3828399,1837,4697,2094,32497293,26797210,5692318,1436,4485,1844,0
252626143,248800418,3817087,1834,4697,2107,32537964,26844608,5685634,1444,4447,1831,0
252720760,248906717,3805434,1822,4678,2109,32578493,26891775,5679028,1433,4458,1799,0
252815459,249012869,3793998,1832,4657,2103,32618978,26939126,5672161,1401,4489,1801,0
252910261,249118950,3782697,1844,4673,2097,32659480,26986325,5665420,1408,4508,1819,0
253005109,249225156,3771369,1825,4671,2088,32700006,27033279,5659037,1417,4482,1791,0
253100097,249331401,3760102,1818,4686,2090,32740582,27080664,5652225,1433,4456,1804,0
253195056,249437612,3748866,1798,4688,2092,32781094,27127922,5645499,1426,4472,1775,0
253290101,249543785,3737746,1799,4693,2078,32821661,27174988,5639055,1415,4433,1770,0
253385162,249650034,3726564,1800,4704,2060,32862296,27222210,5632432,1416,4464,1774,0
253480306,249756129,3715631,1794,4695,2057,32902756,27269117,5625985,1406,4468,1780,0
253575544,249862309,3704695,1806,4708,2026,32943239,27315843,5619701,1409,4491,1795,0
253670830,249968631,3693665,1831,4693,2010,32983772,27363011,5613098,1425,4428,1810,0
253766168,250074773,3682841,1808,4735,2011,33024306,27409924,5606708,1427,4430,1817,0
253861652,250181081,3672063,1795,4711,2002,33064858,27456899,5600321,1435,4412,1791,0
253957189,250287198,3661443,1814,4745,1989,33105305,27503717,5593981,1414,4408,1785,0
254052722,250393415,3650726,1822,4766,1993,33145833,27550373,5587825,1416,4400,1819,0
254148293,250499914,3639813,1802,4781,1983,33186369,27597428,5581313,1421,4399,1808,0
254243985,250606252,3629123,1830,4776,2004,33226873,27644190,5575073,1418,4395,1797,0
254339674,250712596,3618452,1849,4782,1995,33267362,27691160,5568579,1445,4370,1808,0
254435462,250818972,3607871,1878,4752,1989,33307862,27737788,5562429,1473,4383,1789,0
254531295,250925443,3597235,1867,4761,1989,33348392,27784447,5556338,1482,4343,1782,0
254627162,251031956,3586628,1862,4750,1966,33388939,27831258,5550072,1462,4356,1791,0
254723089,251138189,3576356,1874,4719,1951,33429388,27878041,5543734,1437,4376,1800,0
254819169,251244717,3565920,1882,4709,1941,33469923,27924698,5537628,1420,4389,1788,0
254915286,251351329,3555450,1904,4666,1937,33510404,27971246,5531545,1424,4379,1810,0
255011474,251457897,3545089,1875,4669,1944,33550802,28017988,5525179,1411,4417,1807,0
255107689,251564454,3534774,1862,4678,1921,33591236,28064663,5518958,1418,4400,1797,0
255204008,251671115,3524481,1833,4670,1909,33631779,28111043,5513091,1424,4415,1806,0
255300256,251777637,3514248,1836,4630,1905,33672266,28157396,5507181,1439,4406,1844,0
255396692,251884403,3504014,1818,4570,1887,33712726,28203668,5501350,1450,4409,1849,0
255493101,251991265,3493596,1817,4551,1872,33753132,28250204,5495174,1445,4451,1858,0
255589597,252098216,3483161,1789,4554,1877,33793595,28296525,5489328,1456,4410,1876,0
255686175,252205182,3472718,1812,4556,1907,33834084,28342763,5483546,1443,4447,1885,0
255782807,252312004,3462529,1807,4534,1933,33874503,28388994,5477758,1431,4459,1861,0
255879469,252418957,3452249,1769,4549,1945,33914931,28435186,5472057,1432,4406,1850,0
255976138,252525873,3442039,1795,4512,1919,33955334,28481512,5466139,1414,4414,1855,0
256072949,252632931,3431835,1782,4528,1873,33995838,28527729,5460465,1419,4389,1836,0
256169784,252740024,3421617,1782,4506,1855,34036314,28573947,5454713,1421,4399,1834,0
256266679,252847051,3411462,1768,4525,1873,34076719,28619899,5449155,1439,4379,1847,0
256363751,252954107,3401501,1743,4530,1870,34117141,28665810,5443674,1455,4354,1848,0
256460813,253061102,3391554,1764,4545,1848,34157523,28712014,5437836,1468,4369,1836,0
256557990,253168330,3381531,1738,4546,1845,34197984,28758266,5432080,1434,4375,1829,0
256655218,253275593,3371504,1735,4549,1837,34238473,28804278,5426555,1430,4381,1829,0
256752457,253382837,3361525,1740,4532,1823,34278945,28850496,5420809,1449,4354,1837,0
256849752,253489966,3351710,1769,4488,1819,34319245,28896357,5415252,1466,4333,1837,0
256947120,253597088,3341949,1800,4480,1803,34359656,28941997,5409995,1480,4349,1835,0
257044584,253704527,3332003,1785,4476,1793,34400087,28987561,5404864,1474,4365,1823,0
257142124,253812011,3322092,1807,4432,1782,34440515,29033529,5399344,1456,4364,1822,0
257239681,253919297,3312388,1802,4426,1768,34480905,29079220,5394043,1461,4356,1825,0
