"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092970,245944955,4139075,1929,4979,2032,31440683,25549636,5884040,1140,4138,1729,0
250186009,246050325,4126742,1930,4973,2039,31481392,25598342,5876014,1190,4127,1719,0
250279140,246155857,4114339,1944,4954,2046,31522025,25646910,5868088,1191,4128,1708,0
250372287,246261462,4101874,1927,4981,2043,31562699,25695468,5860169,1212,4111,1739,0
250465464,246367056,4089441,1918,4989,2060,31603435,25744093,5852250,1226,4118,1748,0
250558706,246472428,4077285,1928,5009,2056,31644098,25792562,5844372,1247,4157,1760,0
250652002,246577911,4065087,1916,5009,2079,31684742,25840994,5836549,1275,4160,1764,0
250745478,246683403,4053088,1904,5025,2058,31725435,25889180,5829047,1274,4139,1795,0
250838971,246789004,4040963,1919,5058,2027,31765971,25937188,5821541,1292,4164,1786,0
250932478,246894410,4029082,1917,5046,2023,31806530,25985329,5813974,1294,4158,1775,0
251026001,246999853,4017167,1952,5030,1999,31847092,26033615,5806235,1290,4176,1776,0
251119663,247105575,4005162,1941,4998,1987,31887694,26081338,5799079,1318,4180,1779,0
251213469,247211257,3993267,1916,5017,2012,31928350,26129537,5791526,1316,4186,1785,0
251307192,247316929,3981324,1935,5013,1991,31968945,26177589,5784036,1315,4215,1790,0
251401045,247422533,3969553,1934,5034,1991,32009608,26225323,5776949,1321,4232,1783,0
251494953,247528252,3957762,1943,5002,1994,32050255,26273387,5769493,1330,4247,1798,0
251588850,247633773,3946120,1968,4988,2001,32090833,26321214,5762217,1339,4258,1805,0
251682904,247739370,3934551,1956,5020,2007,32131406,26368822,5755136,1353,4297,1798,0
251776955,247845337,3922653,1957,4992,2016,32172010,26416744,5747818,1371,4263,1814,0
251871032,247951166,3910920,1959,4992,1995,32212642,26464169,5741017,1356,4277,1823,0
251965241,248056709,3899591,1943,5010,1988,32253277,26511833,5733977,1361,4310,1796,0
252059529,248162444,3888144,1947,5023,1971,32293922,26559200,5727231,1375,4307,1809,0
252153904,248268329,3876627,1952,5030,1966,32334426,26606461,5720454,1390,4322,1799,0
252248269,248374261,3865066,1928,5024,1990,32374884,26654111,5713247,1400,4340,1786,0
252342713,248480183,3853595,1945,5015,1975,32415491,26701781,5706165,1409,4332,1804,0
252437161,248585965,3842284,1936,4997,1979,32456062,26749451,5699068,1422,4320,1801,0
252531682,248691772,3830988,1954,4976,1992,32496697,26797019,5692101,1434,4341,1802,0
252626334,248797840,3819614,1938,4960,1982,32537383,26844619,5685211,1439,4319,1795,0
252721000,248903725,3808324,1946,4998,2007,32578010,26892348,5678108,1440,4335,1779,0
252815728,249009710,3797119,1981,4955,1963,32618513,26939211,5671778,1433,4318,1773,0
252910476,249115763,3785844,1989,4917,1963,32659194,26986572,5665092,1464,4288,1778,0
253005264,249221898,3774539,1961,4902,1964,32699732,27033976,5658233,1439,4302,1782,0
253100127,249328064,3763222,1960,4920,1961,32740318,27081261,5651528,1449,4280,1800,0
253195171,249433807,3752485,1976,4934,1969,32780946,27128586,5644846,1465,4283,1766,0
253290171,249539859,3741512,1958,4896,1946,32821588,27175852,5638219,1445,4308,1764,0
253385207,249645975,3730479,1978,4847,1928,32862184,27223104,5631577,1439,4295,1769,0
253480364,249752182,3719417,1971,4862,1932,32902701,27270436,5624769,1448,4281,1767,0
253575548,249858549,3708261,1962,4851,1925,32943249,27317479,5618237,1468,4281,1784,0
253670821,249964914,3697142,1943,4887,1935,32983833,27364494,5611770,1482,4296,1791,0
253766180,250071173,3686255,1913,4873,1966,33024350,27411476,5605263,1484,4347,1780,0
253861535,250177654,3675212,1897,4820,1952,33064844,27458324,5598965,1486,4308,1761,0
253956951,250284158,3664138,1890,4791,1974,33105401,27505333,5592540,1453,4304,1771,0
254052519,250390589,3653257,1874,4830,1969,33146016,27552154,5586305,1439,4321,1797,0
254148102,250497080,3642363,1884,4801,1974,33186479,27599144,5579830,1441,4305,1759,0
254243708,250603534,3631569,1859,4772,1974,33227051,27645844,5573699,1413,4310,1785,0
