"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092946,245944840,4139167,1937,4954,2048,31440718,25549602,5884114,1166,4139,1697,0
250185970,246050257,4126764,1944,4937,2068,31481487,25598344,5876089,1188,4169,1697,0
250278980,246155700,4114323,1943,4935,2079,31522170,25646647,5868458,1207,4158,1700,0
250372090,246261192,4101989,1959,4878,2072,31562819,25695014,5860661,1241,4189,1714,0
250465277,246366737,4089592,1943,4901,2104,31603624,25743637,5852824,1267,4185,1711,0
250558559,246472324,4077288,1945,4887,2115,31644215,25791783,5845166,1318,4221,1727,0
250651893,246577965,4064966,1934,4902,2126,31685023,25839990,5837709,1335,4265,1724,0
250745114,246683474,4052659,1951,4898,2132,31725713,25888279,5830137,1326,4235,1736,0
250838594,246789185,4040442,1940,4902,2125,31766377,25936546,5822587,1328,4201,1715,0
250932060,246895184,4027941,1927,4887,2121,31807009,25984646,5815085,1348,4223,1707,0
251025614,247000612,4016022,1907,4924,2149,31847814,26032732,5807802,1327,4243,1710,0
251119263,247106497,4003823,1881,4910,2152,31888420,26080880,5800252,1330,4244,1714,0
251212956,247212055,3992006,1869,4901,2125,31929164,26129272,5792627,1337,4206,1722,0
251306734,247317927,3979948,1864,4895,2100,31969692,26177213,5785172,1360,4210,1737,0
251400570,247423906,3967898,1856,4835,2075,32010403,26225201,5777919,1339,4230,1714,0
251494413,247529825,3955783,1860,4864,2081,32050908,26273212,5770383,1338,4247,1728,0
251588332,247635593,3943943,1882,4835,2079,32091497,26321080,5763034,1343,4304,1736,0
251682350,247741464,3932093,1872,4835,2086,32132202,26369055,5755720,1354,4312,1761,0
251776478,247847269,3920431,1895,4819,2064,32172856,26417018,5748417,1373,4323,1725,0
251870564,247953003,3908774,1888,4835,2064,32213474,26464675,5741325,1389,4319,1766,0
251964743,248058950,3897071,1846,4825,2051,32254037,26512298,5734215,1411,4343,1770,0
252059022,248164809,3885476,1847,4838,2052,32294745,26560114,5727127,1417,4316,1771,0
252153293,248270353,3874184,1847,4861,2048,32335417,26608004,5719889,1409,4341,1774,0
252247624,248376277,3862606,1867,4863,2011,32376065,26655695,5712852,1420,4324,1774,0
252342010,248482303,3850928,1845,4905,2029,32416636,26703126,5706012,1421,4292,1785,0
252436490,248588155,3839560,1850,4899,2026,32457098,26750638,5698933,1427,4327,1773,0
252531119,248694053,3828327,1864,4864,2011,32497643,26798308,5691833,1432,4322,1748,0
252625746,248800150,3816822,1855,4871,2048,32538232,26845870,5684883,1427,4308,1744,0
252720363,248906242,3805393,1845,4841,2042,32578814,26893307,5678002,1415,4327,1763,0
252815101,249012159,3794203,1879,4811,2049,32619427,26940641,5671276,1410,4343,1757,0
252909888,249118334,3782827,1883,4795,2049,32659922,26988066,5664309,1413,4324,1810,0
253004816,249224477,3771610,1900,4792,2037,32700423,27035268,5657598,1420,4340,1797,0
253099767,249330618,3760416,1898,4791,2044,32740908,27082731,5650660,1397,4306,1814,0
253194715,249436665,3749346,1918,4743,2043,32781520,27130062,5643927,1384,4336,1811,0
253289675,249542808,3738188,1918,4715,2046,32822100,27177273,5637278,1417,4336,1796,0
253384794,249649222,3726888,1880,4757,2047,32862609,27224433,5630637,1421,4340,1778,0
253479956,249755551,3715736,1874,4749,2046,32903234,27271522,5624170,1423,4321,1798,0
253575161,249861760,3704735,1856,4770,2040,32943742,27318506,5617670,1427,4329,1810,0
253670432,249967825,3693939,1848,4792,2028,32984312,27365546,5611228,1415,4327,1796,0
253765817,250073978,3683191,1843,4789,2016,33024877,27412784,5604568,1381,4331,1813,0
253861197,250180092,3672418,1832,4806,2049,33065418,27459768,5598107,1400,4327,1816,0
253956687,250286301,3661714,1870,4759,2043,33105974,27506781,5591619,1428,4319,1827,0
254052213,250392638,3650911,1873,4763,2028,33146585,27553652,5585373,1432,4300,1828,0
254147822,250499205,3640010,1881,4728,1998,33187089,27600942,5578621,1411,4295,1820,0
254243388,250605450,3629399,1874,4696,1969,33227619,27647930,5572160,1426,4296,1807,0
254339181,250711756,3618905,1868,4695,1957,33268068,27694716,5565812,1412,4330,1798,0
254434976,250818299,3608157,1865,4712,1943,33308541,27741556,5559468,1412,4319,1786,0
254530714,250924887,3597379,1844,4681,1923,33349035,27788132,5553407,1401,4298,1797,0
254626617,251031451,3586728,1864,4690,1884,33389503,27834940,5547016,1396,4342,1809,0
254722548,251138008,3576164,1875,4641,1860,33429968,27881583,5540859,1408,4333,1785,0
254818556,251244515,3565683,1874,4635,1849,33470401,27928073,5534806,1415,4308,1799,0
254914617,251351164,3555097,1838,4654,1864,33510870,27974716,5528562,1413,4334,1845,0
255010757,251458057,3544388,1823,4640,1849,33551401,28021182,5522606,1398,4357,1858,0
255106953,251564761,3533938,1796,4621,1837,33591982,28067822,5516533,1401,4346,1880,0
255203237,251671633,3523404,1786,4578,1836,33632403,28114185,5510559,1440,4345,1874,0
255299608,251778302,3513098,1812,4569,1827,33672801,28160669,5504467,1437,4338,1890,0
255395990,251885231,3502562,1820,4558,1819,33713266,28207225,5498400,1436,4328,1877,0
255492409,251991964,3492288,1796,4546,1815,33753684,28253740,5492334,1437,4313,1860,0
255588870,252098824,3481938,1800,4493,1815,33794150,28300257,5486281,1444,4309,1859,0
255685520,252205602,3471820,1816,4464,1818,33834564,28346454,5480512,1432,4292,1874,0
255782231,252312371,3461800,1824,4419,1817,33874873,28392374,5474914,1452,4294,1839,0
255878869,252419493,3451320,1814,4404,1838,33915215,28438530,5469100,1441,4287,1857,0
255975589,252526616,3440974,1791,4380,1828,33955645,28484655,5463368,1473,4312,1837,0
256072404,252633398,3431025,1788,4371,1822,33996094,28530585,5457865,1457,4347,1840,0
256169282,252740563,3420772,1783,4354,1810,34036548,28576624,5452293,1464,4338,1829,0
256266213,252847739,3410596,1776,4298,1804,34077003,28622854,5446522,1459,4352,1816,0
256363155,252954890,3400442,1750,4281,1792,34117392,28668818,5440980,1465,4318,1811,0
256460200,253062051,3390326,1748,4291,1784,34157881,28714718,5435603,1449,4310,1801,0
256557362,253169241,3380292,1746,4308,1775,34198224,28760874,5429791,1458,4305,1796,0
256654562,253276397,3370364,1724,4290,1787,34238542,28806783,5424214,1466,4299,1780,0
256751815,253383662,3360405,1707,4259,1782,34278875,28852532,5418811,1462,4329,1741,0
256849183,253491091,3350400,1682,4226,1784,34319265,28898637,5413083,1467,4325,1753,0
