"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092886,245944774,4139141,1969,4957,2045,31440647,25549485,5884153,1142,4167,1700,0
250185880,246050169,4126736,1993,4942,2040,31481423,25598198,5876177,1208,4145,1695,0
250279002,246155714,4114246,2008,4973,2061,31522124,25646490,5868540,1226,4179,1689,0
250372159,246261311,4101786,2001,4986,2075,31562724,25694945,5860691,1228,4187,1673,0
250465377,246366791,4089465,2004,5039,2078,31603420,25743276,5853045,1239,4173,1687,0
250558627,246472211,4077274,1981,5058,2103,31643984,25791825,5845013,1255,4191,1700,0
250651999,246577630,4065263,1979,5062,2065,31684595,25840327,5837090,1273,4205,1700,0
250745432,246683177,4053129,1995,5065,2066,31725270,25888540,5829473,1293,4259,1705,0
250838808,246788607,4041083,1995,5058,2065,31765942,25936697,5821886,1319,4296,1744,0
250932261,246894097,4029107,1994,5016,2047,31806631,25984855,5814418,1315,4320,1723,0
251025821,246999993,4016818,1959,5000,2051,31847248,26032946,5806957,1326,4285,1734,0
251119498,247105565,4004936,1963,4981,2053,31887790,26080951,5799465,1348,4290,1736,0
251213240,247211159,3993056,1972,4996,2057,31928376,26129079,5791873,1365,4312,1747,0
251307035,247316637,3981370,1984,4988,2056,31969055,26177165,5784475,1390,4296,1729,0
251400785,247422150,3969579,1994,5001,2061,32009680,26225162,5777124,1408,4284,1702,0
251494679,247527954,3957651,1991,5026,2057,32050239,26273096,5769724,1418,4294,1707,0
251588647,247633678,3945936,1968,5022,2043,32090853,26321033,5762362,1432,4317,1709,0
251682610,247739322,3934237,1969,5033,2049,32131410,26368808,5755153,1431,4285,1733,0
251776619,247845143,3922436,1974,4997,2069,32172104,26416241,5748408,1419,4296,1740,0
251870688,247950874,3910789,1979,4980,2066,32212845,26463950,5741387,1429,4343,1736,0
251964850,248056639,3899208,1978,4954,2071,32253487,26511492,5734485,1410,4358,1742,0
252059216,248162436,3887817,2010,4912,2041,32294133,26559289,5727312,1401,4374,1757,0
252153556,248268528,3876021,1998,4949,2060,32334710,26606939,5720220,1414,4379,1758,0
252247936,248374336,3864596,1973,4985,2046,32375333,26654896,5712882,1397,4424,1734,0
252342331,248480206,3853123,1979,4981,2042,32415795,26702436,5705757,1416,4434,1752,0
252436855,248586173,3841707,1985,4924,2066,32456478,26749706,5699167,1436,4412,1757,0
252531417,248692076,3830387,1980,4894,2080,32497030,26797127,5692290,1448,4412,1753,0
252626049,248798167,3818980,1976,4867,2059,32537569,26844433,5685469,1441,4450,1776,0
252720737,248904095,3807795,1971,4835,2041,32578199,26891980,5678601,1421,4424,1773,0
252815518,249009934,3796788,1970,4802,2024,32618642,26939241,5671736,1428,4433,1804,0
252910356,249116028,3785533,1983,4794,2018,32659105,26986473,5664948,1426,4434,1824,0
253005235,249222084,3774361,1983,4798,2009,32699604,27033881,5658026,1405,4457,1835,0
253100104,249328198,3763175,1958,4765,2008,32740201,27081297,5651171,1420,4455,1858,0
253195056,249434467,3751868,1962,4769,1990,32780717,27128536,5644455,1430,4454,1842,0
253290133,249540649,3740769,1941,4777,1997,32821271,27175697,5637891,1436,4402,1845,0
253385234,249646974,3729557,1947,4782,1974,32861809,27223089,5631069,1429,4372,1850,0
253480373,249753159,3718544,1896,4793,1981,32902295,27270276,5624355,1434,4380,1850,0
253575531,249859408,3707473,1862,4799,1989,32942871,27317437,5617708,1454,4410,1862,0
253670866,249965419,3696785,1905,4795,1962,32983387,27364397,5611302,1448,4388,1852,0
253766284,250071698,3685929,1882,4801,1974,33023788,27411147,5604963,1427,4408,1843,0
253861648,250178128,3674888,1885,4787,1960,33064277,27457855,5598704,1445,4416,1857,0
253957133,250284434,3664050,1899,4814,1936,33104750,27504703,5592270,1432,4475,1870,0
254052683,250390531,3653527,1883,4827,1915,33145258,27551254,5586220,1462,4443,1879,0
254148246,250497017,3642641,1894,4778,1916,33185808,27597963,5580032,1468,4461,1884,0
254243926,250603446,3631917,1892,4743,1928,33226305,27644809,5573703,1464,4463,1866,0
254339663,250709696,3621402,1894,4728,1943,33266747,27691433,5567546,1475,4436,1857,0
254435523,250816149,3610812,1907,4705,1950,33307319,27738080,5561468,1483,4451,1837,0
254531408,250922577,3600295,1904,4714,1918,33347622,27784711,5555125,1490,4472,1824,0
254627250,251029004,3589736,1914,4717,1879,33388013,27831034,5549164,1475,4490,1850,0
254723179,251135585,3579071,1913,4732,1878,33428531,27877659,5543018,1503,4500,1851,0
254819274,251242271,3568512,1877,4732,1882,33468985,27924033,5537078,1501,4528,1845,0
254915403,251348934,3558029,1840,4733,1867,33509469,27970403,5531200,1501,4549,1816,0
255011527,251455435,3547662,1836,4733,1861,33550009,28016774,5525398,1498,4521,1818,0
255107751,251562102,3537247,1820,4728,1854,33590461,28062909,5519737,1495,4496,1824,0
255204036,251668769,3526888,1825,4717,1837,33630887,28109050,5514010,1481,4501,1845,0
255300336,251775427,3516500,1839,4736,1834,33671240,28155483,5507899,1509,4524,1825,0
255396718,251882172,3506194,1831,4680,1841,33711688,28201879,5501962,1500,4522,1825,0
255493121,251988795,3495984,1842,4643,1857,33752119,28248414,5495860,1506,4524,1815,0
255589688,252095719,3485589,1843,4663,1874,33792569,28294719,5490056,1502,4479,1813,0
255686258,252202641,3475266,1853,4638,1860,33833058,28340877,5484422,1508,4470,1781,0
255782860,252309621,3464930,1854,4621,1834,33873580,28387392,5478458,1512,4454,1764,0
255879585,252416320,3454915,1874,4623,1853,33913905,28433154,5473041,1519,4422,1769,0
255976408,252523268,3444844,1881,4587,1828,33954389,28479439,5467239,1506,4423,1782,0
256073247,252630157,3434791,1878,4601,1820,33994769,28525688,5461410,1495,4390,1786,0
256170154,252737171,3424726,1882,4589,1786,34035096,28572102,5455352,1464,4377,1801,0
256267107,252844183,3414689,1882,4557,1796,34075514,28618239,5449664,1459,4369,1783,0
256364172,252951275,3404683,1859,4544,1811,34116039,28664206,5444202,1447,4384,1800,0
256461268,253058234,3394856,1840,4537,1801,34156429,28710022,5438749,1461,4378,1819,0
256558438,253165210,3385124,1850,4469,1785,34196811,28756114,5433045,1483,4348,1821,0
256655565,253272347,3375124,1825,4479,1790,34237184,28802235,5427284,1484,4356,1825,0
256752727,253379564,3365082,1824,4470,1787,34277560,28848191,5421668,1482,4371,1848,0
256850050,253487055,3354937,1788,4486,1784,34318032,28894085,5416237,1486,4385,1839,0
256947442,253594314,3345094,1783,4457,1794,34358387,28939949,5410714,1497,4382,1845,0
257044866,253701521,3335341,1797,4444,1763,34398775,28985784,5405333,1455,4381,1822,0
257142250,253808905,3325388,1807,4410,1740,34439168,29031823,5399715,1461,4358,1811,0
257239826,253916294,3315581,1773,4449,1729,34479634,29077696,5394310,1460,4365,1803,0
257337441,254023677,3305838,1757,4437,1732,34520035,29123625,5388851,1443,4328,1788,0
257435071,254131044,3296144,1752,4411,1720,34560413,29169382,5383485,1450,4300,1796,0
257532850,254238371,3286597,1754,4392,1736,34600740,29214909,5378288,1450,4296,1797,0
257630631,254345948,3276850,1744,4364,1725,34641103,29260678,5372870,1457,4304,1794,0
257728504,254453629,3267048,1749,4348,1730,34681552,29306536,5367502,1452,4291,1771,0
257826489,254561057,3257609,1776,4323,1724,34721998,29352289,5362190,1458,4286,1775,0
257924466,254668798,3247883,1735,4324,1726,34762411,29398224,5356661,1451,4286,1789,0
258022469,254776123,3238595,1744,4283,1724,34802661,29443917,5351263,1448,4256,1777,0
258120550,254883769,3229037,1714,4281,1749,34843056,29489278,5346238,1455,4283,1802,0
258218709,254991318,3219625,1709,4304,1753,34883481,29534584,5341313,1455,4328,1801,0
258316967,255099119,3210102,1688,4315,1743,34923839,29580281,5335977,1430,4352,1799,0
258415234,255206627,3200918,1663,4278,1748,34964206,29625731,5330865,1453,4363,1794,0
258513602,255314322,3191565,1690,4294,1731,35004572,29670982,5326002,1479,4329,1780,0
258612106,255422333,3182068,1713,4267,1725,35044824,29716230,5321038,1489,4298,1769,0
258710553,255530224,3172662,1700,4262,1705,35085086,29761823,5315710,1476,4321,1756,0
258809123,255638144,3163299,1710,4266,1704,35125384,29807153,5310722,1476,4285,1748,0
258907781,255746059,3154033,1720,4277,1692,35165714,29852437,5305737,1483,4327,1730,0
259006463,255853976,3144778,1733,4240,1736,35206095,29897604,5300892,1473,4356,1770,0
259105218,255961879,3135641,1750,4222,1726,35246381,29942560,5296214,1493,4337,1777,0
259204004,256070013,3126345,1728,4201,1717,35286739,29987817,5291297,1464,4360,1801,0
259302880,256177963,3117296,1737,4167,1717,35327113,30032912,5286572,1445,4380,1804,0
259401740,256286099,3108050,1725,4172,1694,35367498,30078163,5281714,1409,4398,1814,0
259500660,256394201,3098892,1701,4145,1721,35407778,30123213,5276990,1406,4363,1806,0
259599768,256502427,3089829,1692,4118,1702,35447975,30168286,5272133,1404,4343,1809,0
259698811,256610665,3080694,1679,4099,1674,35488370,30213368,5267408,1390,4400,1804,0
259797909,256719021,3071429,1672,4120,1667,35528651,30258329,5262728,1437,4363,1794,0
259897107,256827254,3062399,1687,4106,1661,35568935,30303312,5258057,1420,4344,1802,0
259996407,256935490,3053459,1688,4110,1660,35609343,30348308,5253453,1421,4354,1807,0
260095729,257043846,3044473,1668,4086,1656,35649685,30393210,5248909,1433,4306,1827,0
260195093,257152043,3035694,1629,4064,1663,35689857,30438264,5244044,1440,4297,1812,0
260294497,257260423,3026718,1622,4087,1647,35730096,30483179,5239380,1461,4293,1783,0
260394044,257368851,3017870,1612,4077,1634,35770253,30528321,5234469,1449,4241,1773,0
260493639,257477170,3009164,1597,4052,1656,35810596,30573177,5229992,1468,4186,1773,0
260593283,257585688,3000322,1580,4027,1666,35850807,30618001,5225417,1451,4170,1768,0
260692918,257694233,2991471,1565,4011,1638,35891153,30663039,5220758,1453,4162,1741,0
260792702,257802796,2982711,1572,4012,1611,35931312,30707672,5216260,1478,4152,1750,0
260892625,257911300,2974146,1563,4003,1613,35971622,30752413,5211837,1478,4163,1731,0
260992421,258020037,2965200,1567,3987,1630,36011882,30797206,5207343,1474,4149,1710,0
261092355,258128760,2956407,1566,3980,1642,36052112,30841926,5202828,1495,4156,1707,0
261192398,258237523,2947726,1571,3949,1629,36092322,30886617,5198338,1487,4153,1727,0
261292489,258346361,2938992,1576,3943,1617,36132638,30931432,5193837,1488,4161,1720,0
261392663,258455373,2930137,1574,3962,1617,36172888,30976132,5189405,1493,4141,1717,0
261492822,258564168,2921526,1580,3944,1604,36213255,31020712,5185165,1471,4157,1750,0
261593055,258672996,2912916,1553,3967,1623,36253453,31065137,5180927,1460,4188,1741,0
261693451,258781910,2904414,1547,3956,1624,36293639,31109723,5176531,1459,4193,1733,0
261793837,258890748,2895947,1566,3941,1635,36333854,31154114,5172333,1455,4210,1742,0
261894313,258999456,2887693,1570,3957,1637,36374154,31198773,5167996,1436,4207,1742,0
261994828,259108392,2879277,1569,3956,1634,36414388,31243204,5163785,1451,4213,1735,0
262095437,259217319,2870963,1568,3946,1641,36454607,31287610,5159598,1464,4201,1734,0
262196125,259326411,2862543,1577,3968,1626,36494753,31332156,5155248,1437,4205,1707,0
262296796,259435445,2854199,1561,3964,1627,36534870,31376496,5151066,1426,4191,1691,0
262397584,259544567,2845865,1555,3958,1639,36575150,31420914,5146951,1425,4166,1694,0
262498466,259653651,2837642,1568,3964,1641,36615401,31465489,5142638,1444,4143,1687,0
262599277,259762702,2829418,1602,3906,1649,36655593,31509870,5138432,1445,4148,1698,0
262700236,259871705,2821385,1621,3882,1643,36695789,31554233,5134241,1477,4156,1682,0
262801213,259981077,2813029,1599,3884,1624,36736016,31598401,5130349,1479,4129,1658,0
262902272,260090278,2804912,1567,3891,1624,36776143,31642930,5125916,1471,4173,1653,0
263003410,260199784,2796589,1563,3872,1602,36816373,31687209,5121875,1458,4164,1667,0
263104659,260309161,2788461,1565,3852,1620,36856552,31731513,5117756,1445,4174,1664,0
263205912,260418549,2780354,1575,3827,1607,36896816,31775596,5113931,1466,4179,1644,0
263307281,260527995,2772276,1565,3823,1622,36936954,31819661,5110022,1451,4205,1615,0
263408635,260637573,2764072,1533,3828,1629,36977132,31863759,5106163,1444,4151,1615,0
263510081,260747023,2756088,1526,3806,1638,37017250,31908011,5102044,1444,4136,1615,0
263611655,260856644,2748076,1504,3809,1622,37057394,31952367,5097879,1407,4126,1615,0
263713234,260966197,2740119,1517,3792,1609,37097522,31996461,5093915,1423,4116,1607,0
263814845,261075528,2732430,1506,3776,1605,37137771,32040459,5090167,1434,4105,1606,0
263916555,261185094,2724584,1495,3784,1598,37177985,32084736,5086137,1433,4070,1609,0
264018343,261294851,2716634,1507,3773,1578,37218244,32128794,5082351,1429,4062,1608,0
264120150,261404553,2708728,1535,3745,1589,37258434,32172637,5078682,1422,4059,1634,0
264222179,261514282,2701084,1530,3725,1558,37298601,32216760,5074711,1410,4085,1635,0
264324180,261624117,2693247,1502,3742,1572,37338819,32260722,5070952,1407,4094,1644,0
264426215,261734167,2685278,1504,3672,1594,37378971,32305080,5066768,1388,4101,1634,0
264528303,261844087,2677466,1489,3668,1593,37419187,32349046,5062978,1381,4136,1646,0
264630389,261954038,2669626,1485,3656,1584,37459239,32393107,5059042,1367,4097,1626,0
264732628,262064116,2661793,1491,3642,1586,37499486,32436798,5055625,1382,4079,1602,0
264834968,262174099,2654166,1497,3641,1565,37539613,32480721,5051850,1369,4069,1604,0
264937239,262284058,2646521,1511,3601,1548,37579725,32524412,5048250,1367,4057,1639,0
265039623,262394331,2638664,1497,3587,1544,37619870,32568353,5044427,1392,4041,1657,0
265142042,262504410,2631055,1490,3562,1525,37660095,32612195,5040845,1405,4004,1646,0
265244557,262614614,2623434,1479,3529,1501,37700107,32655861,5037144,1389,4069,1644,0
265347132,262724973,2615665,1481,3525,1488,37740228,32699516,5033619,1395,4033,1665,0
265449743,262835346,2607928,1458,3524,1487,37780317,32743388,5029837,1378,4060,1654,0
265552361,262945903,2600008,1454,3517,1479,37820583,32787002,5026454,1377,4067,1683,0
265655074,263056303,2592372,1435,3517,1447,37860822,32830649,5023022,1402,4095,1654,0
265757933,263166840,2584687,1421,3541,1444,37900926,32874268,5019499,1414,4106,1639,0
265860826,263277294,2577108,1427,3559,1438,37941098,32917721,5016175,1423,4131,1648,0
265963762,263387794,2569595,1430,3515,1428,37981269,32961663,5012413,1425,4112,1656,0
266066717,263498313,2562065,1426,3494,1419,38021421,33005272,5008918,1443,4128,1660,0
266169813,263609005,2554519,1405,3471,1413,38061597,33048817,5005554,1437,4133,1656,0
266272945,263719690,2546961,1421,3455,1418,38101765,33092447,5002111,1444,4124,1639,0
266376206,263830369,2539593,1410,3433,1401,38141917,33135772,4998952,1457,4086,1650,0
266479504,263940965,2532302,1406,3425,1406,38182063,33178958,4995941,1443,4065,1656,0
266582809,264051724,2524884,1397,3407,1397,38222165,33222233,4992779,1467,4041,1645,0
266686215,264162423,2517606,1369,3421,1396,38262253,33265823,4989299,1458,4036,1637,0
266789701,264273188,2510336,1384,3398,1395,38302276,33309280,4985860,1463,4043,1630,0
266893230,264383964,2503129,1382,3357,1398,38342415,33352359,4982915,1463,4037,1641,0
266996886,264495024,2495776,1356,3318,1412,38382551,33395639,4979762,1467,4035,1648,0
267100464,264605947,2488446,1353,3297,1421,38422747,33439073,4976500,1491,4053,1630,0
267204174,264717107,2481045,1307,3294,1421,38462809,33482509,4973143,1472,4056,1629,0
267307942,264828078,2473874,1306,3287,1397,38502874,33525686,4970089,1452,4036,1611,0
267411900,264939216,2466701,1305,3269,1409,38543047,33568872,4967046,1468,4046,1615,0
267515848,265050479,2459441,1302,3238,1388,38582994,33612180,4963682,1480,4049,1603,0
267619786,265161555,2452325,1309,3197,1400,38623027,33655260,4960669,1490,4032,1576,0
267723840,265272737,2445213,1305,3208,1377,38663077,33698246,4957746,1488,4022,1575,0
267827911,265384091,2437987,1282,3181,1370,38703222,33741544,4954631,1479,3989,1579,0
267932152,265495510,2430816,1252,3200,1374,38743287,33784802,4951402,1474,4032,1577,0
268036366,265606902,2423640,1261,3201,1362,38783406,33827619,4948704,1474,4032,1577,0
268140669,265718237,2416653,1261,3180,1338,38823559,33870734,4945744,1497,4027,1557,0
268245030,265829586,2409658,1239,3198,1349,38863640,33913752,4942772,1475,4091,1550,0
268349438,265941037,2402621,1257,3166,1357,38903818,33956691,4940022,1464,4089,1552,0
268453944,266052797,2395400,1241,3142,1364,38943922,33999639,4937121,1445,4147,1570,0
268558528,266164513,2388326,1229,3114,1346,38983901,34042664,4934061,1436,4168,1572,0
268663178,266276060,2381444,1232,3097,1345,39023949,34085807,4931012,1407,4149,1574,0
268767837,266387638,2374515,1256,3086,1342,39064051,34128943,4927951,1398,4171,1588,0
268872570,266499427,2367461,1244,3114,1324,39104080,34171857,4925062,1418,4154,1589,0
268977397,266611212,2360501,1257,3105,1322,39144215,34214864,4922202,1431,4133,1585,0
