"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092931,245944852,4139167,1923,4948,2041,31440625,25549578,5884074,1153,4121,1699,0
250185935,246050325,4126716,1926,4918,2050,31481435,25597890,5876507,1187,4164,1687,0
250279085,246155996,4114191,1920,4922,2056,31522175,25646169,5868936,1205,4201,1664,0
250372240,246261561,4101799,1924,4892,2064,31562880,25694632,5861119,1229,4228,1672,0
250465510,246366953,4089675,1893,4918,2071,31603520,25743003,5853359,1245,4230,1683,0
250558852,246472607,4077403,1895,4902,2045,31644156,25791167,5845744,1267,4284,1694,0
250652134,246578170,4065126,1882,4895,2061,31684771,25839778,5837720,1277,4309,1687,0
250745545,246683728,4053020,1876,4880,2041,31725383,25888130,5829990,1294,4271,1698,0
250839023,246789436,4040801,1901,4854,2031,31766059,25936362,5822355,1313,4319,1710,0
250932520,246894820,4028907,1921,4831,2041,31806594,25984411,5814828,1320,4330,1705,0
251026155,247000656,4016789,1897,4801,2012,31847257,26032520,5807341,1326,4358,1712,0
251119803,247106269,4004805,1915,4798,2016,31887888,26080690,5799773,1346,4369,1710,0
251213474,247211849,3992892,1891,4828,2014,31928577,26128879,5792248,1359,4386,1705,0
251307179,247317548,3980914,1892,4801,2024,31969205,26176640,5785079,1389,4373,1724,0
251400953,247423383,3968910,1876,4783,2001,32009801,26224578,5777682,1396,4388,1757,0
251494818,247529176,3956984,1854,4802,2002,32050515,26272566,5770390,1420,4379,1760,0
251588767,247634967,3945125,1870,4799,2006,32091099,26320492,5762997,1432,4426,1752,0
251682733,247740921,3933151,1870,4780,2011,32131912,26368325,5755902,1431,4457,1797,0
251776729,247846652,3921410,1854,4802,2011,32172582,26416073,5748824,1424,4456,1805,0
251870859,247952447,3909733,1868,4805,2006,32213156,26463767,5741715,1431,4444,1799,0
251965015,248058254,3898071,1868,4818,2004,32253658,26511477,5734501,1436,4465,1779,0
252059287,248163839,3886697,1880,4859,2012,32294189,26559213,5727271,1421,4482,1802,0
252153672,248269694,3875162,1897,4897,2022,32334751,26606785,5720258,1454,4451,1803,0
252248020,248375879,3863384,1875,4879,2003,32375366,26654363,5713297,1457,4441,1808,0
252342471,248481825,3851852,1884,4897,2013,32415816,26701808,5706292,1456,4445,1815,0
252436984,248587868,3840323,1872,4902,2019,32456459,26749188,5699531,1467,4474,1799,0
252531531,248693846,3828891,1884,4881,2029,32496965,26796680,5692616,1456,4434,1779,0
