"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092927,245944919,4139067,1910,4978,2053,31440654,25549600,5884090,1127,4154,1683,0
250186003,246050352,4126695,1904,4981,2071,31481248,25597834,5876396,1150,4179,1689,0
250279194,246155937,4114354,1920,4943,2040,31521833,25646044,5868737,1165,4187,1700,0
250372284,246261450,4101935,1938,4910,2051,31562557,25694682,5860801,1188,4206,1680,0
250465457,246366750,4089838,1957,4880,2032,31603203,25743084,5853030,1208,4205,1676,0
250558828,246472215,4077748,1932,4892,2041,31644001,25791416,5845478,1225,4210,1672,0
250652211,246577769,4065555,1920,4912,2055,31684518,25839837,5837508,1230,4269,1674,0
250745547,246683174,4053476,1923,4912,2062,31725100,25887872,5830030,1253,4261,1684,0
250838920,246788829,4041236,1921,4900,2034,31765817,25936167,5822466,1257,4241,1686,0
250932538,246894437,4029207,1901,4945,2048,31806437,25984449,5814771,1272,4256,1689,0
251026236,247000129,4017256,1922,4928,2001,31847134,26032664,5807217,1286,4266,1701,0
251119896,247105600,4005403,1931,4945,2017,31887753,26080651,5799809,1306,4269,1718,0
251213573,247211017,3993594,1918,4997,2047,31928469,26128515,5792628,1305,4299,1722,0
251307288,247316689,3981608,1945,5005,2041,31969173,26176632,5785258,1303,4297,1683,0
251401126,247422427,3969699,1958,4994,2048,32009793,26224549,5777960,1327,4266,1691,0
251494984,247527946,3958026,1984,5012,2016,32050422,26272579,5770483,1342,4309,1709,0
251588924,247633727,3946186,1972,5005,2034,32091091,26320386,5763308,1362,4342,1693,0
251682910,247739504,3934396,1952,4999,2059,32131790,26367928,5756445,1377,4323,1717,0
251776875,247845364,3922523,1955,4986,2047,32172501,26416009,5749076,1376,4323,1717,0
251871012,247950968,3911071,1975,4958,2040,32213044,26463288,5742337,1387,4306,1726,0
251965221,248056764,3899558,1945,4940,2014,32253715,26511057,5735240,1406,4295,1717,0
252059458,248162593,3887957,1944,4926,2038,32294293,26558879,5727937,1402,4342,1733,0
252153789,248268556,3876383,1932,4883,2035,32334851,26606604,5720744,1409,4354,1740,0
252248203,248374443,3864935,1924,4888,2013,32375386,26654280,5713655,1420,4318,1713,0
252342635,248480469,3853398,1903,4902,1963,32416084,26701768,5706873,1447,4271,1725,0
252437028,248586443,3841871,1879,4886,1949,32456684,26749095,5700065,1465,4300,1759,0
252531575,248692309,3830517,1912,4841,1996,32497302,26796637,5693119,1470,4300,1776,0
252626166,248798255,3819178,1917,4829,1987,32537871,26844223,5686090,1472,4318,1768,0
252720867,248904418,3807746,1918,4803,1982,32578430,26891600,5679260,1447,4323,1800,0
252815601,249010464,3796459,1921,4743,2014,32618965,26938917,5672483,1434,4330,1801,0
252910432,249116560,3785214,1936,4734,1988,32659492,26986216,5665759,1423,4299,1795,0
253005186,249222665,3773900,1943,4714,1964,32699987,27033767,5658746,1426,4262,1786,0
253100143,249328955,3762552,1935,4739,1962,32740623,27081105,5652032,1426,4263,1797,0
253195116,249435066,3751422,1942,4748,1938,32781183,27128514,5645148,1429,4309,1783,0
253290098,249541286,3740208,1920,4735,1949,32821783,27175587,5638636,1431,4322,1807,0
253385199,249647505,3729121,1945,4713,1915,32862323,27222438,5632317,1434,4330,1804,0
253480385,249753834,3717964,1938,4759,1890,32902827,27269850,5625411,1446,4333,1787,0
253575677,249860191,3706915,1914,4754,1903,32943373,27317006,5618807,1471,4319,1770,0
253671015,249966633,3695870,1923,4694,1895,32983967,27364039,5612354,1490,4317,1767,0
253766278,250073019,3684747,1921,4714,1877,33024484,27411126,5605796,1478,4297,1787,0
