"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092924,245944909,4139015,1949,4995,2056,31440717,25549507,5884245,1145,4123,1697,0
250185841,246050179,4126690,1952,4959,2061,31481409,25597861,5876489,1181,4150,1728,0
250278950,246155632,4114384,1927,4932,2075,31522087,25646410,5868521,1197,4216,1743,0
250372018,246261156,4101943,1962,4882,2075,31562756,25694873,5860695,1221,4241,1726,0
250465152,246366632,4089589,1967,4895,2069,31603522,25743134,5853164,1260,4248,1716,0
250558416,246472221,4077244,1961,4904,2086,31644162,25791651,5845256,1242,4270,1743,0
250651775,246577645,4065183,1968,4927,2052,31684819,25840336,5837213,1278,4262,1730,0
250745175,246683320,4052923,1954,4934,2044,31725447,25888734,5829456,1311,4244,1702,0
250838602,246788901,4040731,1941,4970,2059,31766101,25937057,5821747,1308,4264,1725,0
250932055,246894507,4028586,1952,4960,2050,31806800,25985459,5814052,1303,4256,1730,0
251025618,247000092,4016588,1945,4920,2073,31847414,26033715,5806370,1311,4280,1738,0
251119223,247105728,4004567,1952,4901,2075,31888034,26081927,5798751,1324,4260,1772,0
251212979,247211317,3992774,1935,4884,2069,31928691,26129927,5791422,1326,4229,1787,0
251306773,247317060,3980822,1950,4871,2070,31969227,26177652,5784229,1328,4243,1775,0
251400601,247422679,3969049,1961,4855,2057,32009809,26225518,5776926,1343,4226,1796,0
251494439,247528290,3957292,1956,4840,2061,32050348,26273694,5769259,1354,4260,1781,0
251588393,247634120,3945389,1955,4866,2063,32090926,26321288,5762208,1368,4271,1791,0
251682502,247739944,3933670,1965,4891,2032,32131605,26369143,5755032,1359,4287,1784,0
251776559,247845809,3921854,1968,4894,2034,32172122,26416946,5747729,1367,4294,1786,0
251870700,247951543,3910261,1960,4905,2031,32212747,26464495,5740782,1364,4314,1792,0
251964845,248057327,3898611,2000,4894,2013,32253451,26512325,5733625,1356,4360,1785,0
252059068,248162989,3887171,1960,4912,2036,32294004,26559882,5726609,1367,4360,1786,0
252153407,248268798,3875671,1955,4942,2041,32334555,26607335,5719688,1389,4371,1772,0
252247806,248374748,3864098,1974,4958,2028,32375125,26655086,5712492,1401,4355,1791,0
252342202,248480683,3852590,1944,4965,2020,32415697,26702295,5705803,1432,4377,1790,0
252436718,248586394,3841443,1947,4913,2021,32456354,26749773,5698968,1444,4377,1792,0
252531288,248692218,3830211,1930,4920,2009,32496931,26797032,5692273,1441,4395,1790,0
252625935,248798067,3818996,1932,4922,2018,32537457,26844245,5685540,1449,4414,1809,0
252720601,248904176,3807581,1918,4925,2001,32577956,26891648,5678663,1457,4426,1762,0
252815374,249010299,3796261,1890,4949,1975,32618483,26938963,5671877,1454,4440,1749,0
252910123,249116121,3785178,1898,4945,1981,32659077,26986358,5665054,1458,4448,1759,0
253005062,249222240,3773958,1919,4961,1984,32699597,27033678,5658238,1458,4466,1757,0
253099987,249328403,3762771,1909,4917,1987,32740213,27080780,5651742,1458,4470,1763,0
253194942,249434580,3751510,1899,4963,1990,32780830,27128070,5645032,1493,4478,1757,0
253289980,249540653,3740473,1889,4982,1983,32821332,27174747,5638880,1487,4472,1746,0
253385049,249646757,3729504,1898,4919,1971,32861988,27221925,5632365,1501,4461,1736,0
253480243,249753040,3718393,1907,4909,1994,32902504,27269097,5625701,1519,4439,1748,0
253575492,249859367,3707361,1910,4865,1989,32943000,27316205,5619090,1502,4460,1743,0
253670804,249965557,3696512,1902,4845,1988,32983492,27363269,5612553,1483,4444,1743,0
253766147,250071932,3685532,1891,4819,1973,33024082,27410266,5606175,1490,4408,1743,0
253861513,250178123,3674712,1900,4793,1985,33064600,27456938,5600002,1493,4416,1751,0
