"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092946,245944979,4139017,1935,4971,2044,31440716,25549490,5884238,1133,4148,1707,0
250185990,246050540,4126496,1927,4981,2046,31481435,25598173,5876220,1162,4154,1726,0
250279127,246155984,4114224,1922,4949,2048,31522131,25646619,5868434,1180,4159,1739,0
250372227,246261659,4101621,1905,4969,2073,31562812,25695161,5860596,1173,4169,1713,0
250465433,246367194,4089217,1907,5024,2091,31603459,25743613,5852721,1193,4182,1750,0
250558804,246472824,4076947,1922,5025,2086,31644150,25792011,5844957,1224,4205,1753,0
250652173,246578259,4064895,1929,5033,2057,31684834,25840607,5837025,1248,4199,1755,0
250745579,246683823,4052800,1896,5012,2048,31725565,25889078,5829259,1261,4221,1746,0
250838942,246789150,4040820,1919,4989,2064,31766157,25937081,5821777,1251,4267,1781,0
250932475,246894776,4028729,1901,5019,2050,31806759,25985324,5814104,1282,4244,1805,0
251026090,247000357,4016792,1912,4995,2034,31847406,26033352,5806688,1288,4270,1808,0
251119757,247105982,4004789,1928,5022,2036,31887939,26081418,5799106,1294,4320,1801,0
251213450,247211501,3992963,1938,5041,2007,31928601,26129445,5791708,1297,4318,1833,0
251307262,247317214,3981066,1941,5051,1990,31969135,26177539,5784125,1331,4333,1807,0
251401100,247422937,3969169,1929,5089,1976,32009637,26225473,5776686,1338,4347,1793,0
251494999,247528780,3957250,1942,5070,1957,32050309,26273199,5769634,1355,4365,1756,0
251588920,247634429,3945561,1959,4983,1988,32090932,26321016,5762423,1381,4367,1745,0
251682919,247739971,3934002,1979,4978,1989,32131422,26368703,5755191,1384,4390,1754,0
251776904,247845942,3922011,1970,4989,1992,32172046,26416350,5748182,1372,4382,1760,0
251871034,247951685,3910392,1980,4984,1993,32212557,26463994,5741005,1381,4393,1784,0
251965195,248057438,3898856,1987,4933,1981,32253202,26511802,5733823,1418,4367,1792,0
252059406,248163239,3887199,1986,4971,2011,32293897,26559514,5726837,1411,4350,1785,0
252153671,248269111,3875635,1981,4934,2010,32334440,26606940,5719950,1419,4356,1775,0
252247971,248375054,3864020,1984,4907,2006,32375023,26654666,5712870,1382,4340,1765,0
252342362,248481052,3852417,1989,4919,1985,32415665,26702376,5705755,1401,4377,1756,0
252436859,248586924,3841043,1958,4939,1995,32456267,26749828,5698876,1413,4403,1747,0
252531377,248692538,3829947,1939,4950,2003,32496929,26797349,5692027,1424,4388,1741,0
252625984,248798268,3818831,1946,4928,2011,32537532,26845068,5684966,1416,4337,1745,0
252720688,248904296,3807518,1941,4933,2000,32578146,26892538,5678098,1392,4356,1762,0
252815421,249010315,3796264,1941,4907,1994,32618754,26939925,5671287,1395,4362,1785,0
252910221,249116303,3785031,1958,4942,1987,32659468,26987342,5664603,1389,4351,1783,0
