"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092989,245944941,4139094,1933,4963,2058,31440801,25549466,5884318,1157,4157,1703,0
250186026,246050177,4126892,1921,4988,2048,31481376,25598063,5876259,1200,4151,1703,0
250279109,246155562,4114625,1913,4972,2037,31522043,25646292,5868651,1221,4166,1713,0
250372215,246260987,4102325,1935,4935,2033,31562783,25694925,5860751,1238,4131,1738,0
250465416,246366452,4090081,1939,4907,2037,31603498,25743293,5853027,1258,4159,1761,0
250558747,246471900,4077963,1950,4898,2036,31644216,25791693,5845317,1280,4159,1767,0
250652087,246577249,4065928,1965,4913,2032,31684828,25839839,5837768,1294,4164,1763,0
250745506,246682842,4053755,1944,4928,2037,31725508,25887912,5830333,1325,4180,1758,0
250838943,246788549,4041499,1933,4944,2018,31766101,25936095,5822732,1341,4192,1741,0
250932469,246894099,4029476,1943,4933,2018,31806690,25984338,5815077,1344,4190,1741,0
251025985,246999511,4017569,1977,4913,2015,31847339,26032702,5807336,1332,4208,1761,0
251119619,247105148,4005551,1991,4924,2005,31888041,26080865,5799870,1325,4211,1770,0
251213377,247210910,3993610,1965,4901,1991,31928811,26129065,5792476,1330,4194,1746,0
251307115,247316578,3981625,1966,4958,1988,31969480,26177424,5784789,1327,4194,1746,0
251400901,247422221,3969834,1948,4930,1968,32010078,26224907,5777879,1336,4231,1725,0
251494751,247527900,3958025,1937,4918,1971,32050860,26272896,5770649,1339,4203,1773,0
251588634,247633671,3946131,1914,4918,2000,32091458,26321069,5763066,1309,4238,1776,0
251682548,247739427,3934309,1924,4906,1982,32132209,26369155,5755724,1315,4235,1780,0
251776685,247844999,3922889,1950,4887,1960,32172917,26416997,5748598,1332,4222,1768,0
251870771,247950615,3911388,1949,4854,1965,32213579,26464735,5741463,1349,4238,1794,0
251965014,248056406,3899860,1945,4823,1980,32254190,26512472,5734323,1328,4250,1817,0
252059205,248162246,3888216,1945,4831,1967,32294762,26560354,5726998,1353,4255,1802,0
252153436,248268011,3876655,1947,4837,1986,32335327,26607984,5719905,1363,4270,1805,0
252247767,248373982,3864961,1950,4887,1987,32375952,26655626,5712899,1362,4272,1793,0
252342193,248479866,3853503,1947,4891,1986,32416572,26703134,5705987,1353,4302,1796,0
252436658,248585829,3841984,1942,4903,2000,32457161,26750575,5699155,1376,4262,1793,0
252531286,248691823,3830657,1920,4883,2003,32497660,26798233,5692013,1355,4279,1780,0
252625895,248797969,3819139,1933,4852,2002,32538338,26845665,5685222,1383,4283,1785,0
252720591,248903866,3807938,1926,4863,1998,32578862,26893254,5678162,1396,4247,1803,0
252815374,249009714,3796838,1951,4859,2012,32619392,26940544,5671396,1427,4196,1829,0
252910152,249115783,3785568,1975,4832,1994,32659936,26987957,5664486,1428,4225,1840,0
253004994,249222034,3774159,1946,4851,2004,32700539,27035377,5657671,1407,4238,1846,0
253099960,249328143,3763006,1939,4869,2003,32741123,27082744,5650905,1415,4228,1831,0
253194964,249434356,3751787,1938,4887,1996,32781729,27130284,5643968,1389,4239,1849,0
253290013,249540322,3740886,1944,4867,1994,32822173,27177567,5637161,1391,4229,1825,0
253385106,249646418,3729911,1914,4871,1992,32862665,27224662,5630559,1393,4221,1830,0
253480299,249752711,3718853,1906,4841,1988,32903258,27271643,5624181,1398,4234,1802,0
253575540,249858844,3707924,1911,4867,1994,32943787,27318787,5617530,1393,4279,1798,0
253670880,249964899,3697178,1935,4885,1983,32984269,27365819,5611004,1395,4243,1808,0
253766256,250071274,3686214,1928,4869,1971,33024782,27412677,5604633,1413,4259,1800,0
253861632,250177564,3675319,1908,4853,1988,33065292,27459998,5597804,1430,4259,1801,0
253957129,250283962,3664444,1904,4834,1985,33105810,27506856,5591474,1421,4233,1826,0
254052704,250390309,3653684,1893,4858,1960,33146306,27553832,5585031,1406,4233,1804,0
254148275,250496766,3642829,1887,4830,1963,33186861,27600725,5578667,1418,4234,1817,0
254243922,250602980,3632287,1898,4824,1933,33227415,27647412,5572530,1405,4242,1826,0
254339662,250709475,3621580,1895,4788,1924,33267990,27694346,5566122,1400,4265,1857,0
254435402,250815965,3610829,1882,4804,1922,33308592,27741098,5559938,1416,4272,1868,0
254531291,250922406,3600289,1883,4807,1906,33349014,27787731,5553741,1414,4274,1854,0
254627150,251028904,3589689,1877,4796,1884,33389453,27834264,5547661,1418,4268,1842,0
254723180,251135487,3579140,1893,4798,1862,33429982,27880998,5541484,1423,4246,1831,0
254819107,251242099,3568473,1872,4783,1880,33470491,27927719,5535281,1425,4257,1809,0
254915224,251348903,3557864,1858,4716,1883,33510890,27974276,5529129,1414,4273,1798,0
255011370,251455471,3547424,1883,4711,1881,33551472,28020718,5523207,1433,4304,1810,0
255107520,251562102,3536999,1839,4715,1865,33592013,28067098,5517357,1429,4321,1808,0
255203788,251668684,3526694,1836,4716,1858,33632363,28113696,5511171,1404,4278,1814,0
255300037,251775294,3516393,1855,4655,1840,33672780,28160215,5505094,1409,4273,1789,0
255396494,251882025,3506127,1851,4646,1845,33713086,28206748,5498873,1423,4285,1757,0
255492993,251988763,3495868,1866,4656,1840,33753478,28253051,5492954,1426,4283,1764,0
255589471,252095474,3485679,1858,4633,1827,33793892,28299712,5486734,1423,4266,1757,0
255686056,252202498,3475245,1830,4667,1816,33834314,28346112,5480763,1419,4271,1749,0
255782697,252309284,3465164,1837,4607,1805,33874742,28392408,5474928,1406,4253,1747,0
255879402,252416368,3454852,1818,4580,1784,33915201,28438739,5469112,1387,4230,1733,0
255976103,252523392,3444545,1813,4568,1785,33955525,28485157,5463040,1380,4218,1730,0
256072927,252630494,3434321,1796,4525,1791,33995927,28531393,5457206,1403,4223,1702,0
256169822,252737620,3424086,1805,4534,1777,34036421,28577581,5451514,1415,4213,1698,0
256266806,252844870,3413834,1787,4538,1777,34076798,28623927,5445609,1400,4179,1683,0
256363790,252951907,3403806,1789,4523,1765,34117268,28669934,5440035,1411,4184,1704,0
256460781,253059008,3393688,1784,4520,1781,34157618,28715924,5434376,1405,4217,1696,0
256557871,253165983,3383812,1792,4513,1771,34198101,28762159,5428637,1428,4183,1694,0
256655090,253273143,3373851,1784,4514,1798,34238503,28808117,5423065,1419,4194,1708,0
256752352,253380264,3363988,1772,4555,1773,34278801,28853997,5417507,1422,4201,1674,0
256849660,253487396,3354191,1761,4548,1764,34319175,28899994,5411847,1431,4194,1709,0
256947038,253594596,3344366,1771,4549,1756,34359475,28945932,5406195,1437,4209,1702,0
257044460,253701767,3334614,1766,4556,1757,34399743,28991735,5400633,1455,4209,1711,0
257141978,253809106,3324827,1759,4538,1748,34440138,29037661,5395136,1458,4181,1702,0
257239562,253916464,3315033,1772,4511,1782,34480552,29083547,5389611,1462,4217,1715,0
