"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092949,245945036,4138989,1954,4928,2042,31440590,25549477,5884155,1152,4114,1692,0
250186030,246050469,4126577,1962,4978,2044,31481314,25597798,5876500,1184,4114,1718,0
250279153,246155790,4114396,2009,4938,2020,31521992,25646342,5868570,1209,4127,1744,0
250372252,246261141,4102151,1991,4954,2015,31562607,25694596,5860844,1251,4148,1768,0
250465511,246366646,4089904,1980,4978,2003,31603254,25742777,5853281,1277,4150,1769,0
250558820,246472355,4077490,1966,4992,2017,31643866,25791161,5845474,1308,4150,1773,0
250652136,246577883,4065285,1963,4996,2009,31684583,25839193,5838165,1311,4152,1762,0
250745514,246683238,4053294,1981,4992,2009,31725330,25887392,5830710,1321,4149,1758,0
250839035,246788737,4041318,1975,4984,2021,31765985,25935338,5823389,1343,4169,1746,0
250932574,246894321,4029246,1954,5005,2048,31806607,25983478,5815842,1342,4191,1754,0
251026147,246999839,4017251,1964,5018,2075,31847165,26031666,5808145,1370,4216,1768,0
251119755,247105445,4005240,1951,5033,2086,31887782,26079929,5800498,1354,4221,1780,0
251213397,247211061,3993284,1908,5034,2110,31928375,26127928,5793057,1346,4278,1766,0
251307212,247316631,3981540,1902,5045,2094,31969018,26176033,5785587,1334,4276,1788,0
251401082,247422346,3969679,1911,5039,2107,32009686,26224203,5778097,1337,4278,1771,0
251494914,247527692,3958174,1909,5053,2086,32050248,26272254,5770595,1351,4270,1778,0
251588918,247633296,3946552,1895,5081,2094,32090953,26320188,5763389,1360,4240,1776,0
251682969,247738958,3934934,1926,5065,2086,32131525,26368155,5755996,1345,4241,1788,0
251777060,247844740,3923255,1939,5043,2083,32172036,26416267,5748403,1340,4235,1791,0
251871248,247950518,3911623,1943,5090,2074,32212638,26464040,5741254,1316,4231,1797,0
251965410,248056343,3899955,1965,5081,2066,32253357,26511646,5734332,1320,4262,1797,0
252059673,248162008,3888623,1921,5065,2056,32293910,26559170,5727321,1341,4274,1804,0
252153961,248267914,3877065,1926,5006,2050,32334518,26606933,5720136,1331,4305,1813,0
252248276,248373736,3865571,1940,4960,2069,32375155,26654631,5713058,1339,4330,1797,0
252342748,248479506,3854273,1975,4925,2069,32415673,26702067,5706074,1352,4352,1828,0
252437253,248585431,3842807,1992,4957,2066,32456174,26749534,5699117,1381,4349,1793,0
252531801,248691315,3831490,1990,4956,2050,32496775,26796996,5692283,1382,4329,1785,0
252626315,248797333,3820001,1989,4949,2043,32537341,26844498,5685329,1389,4322,1803,0
252720979,248903159,3808828,2014,4943,2035,32577964,26891924,5678527,1421,4298,1794,0
252815699,249009151,3797571,2027,4905,2045,32618549,26939386,5671616,1420,4345,1782,0
252910447,249115207,3786273,2019,4909,2039,32659111,26986593,5664950,1411,4378,1779,0
253005367,249221332,3775120,2002,4866,2047,32699672,27033670,5658446,1437,4341,1778,0
253100280,249327325,3764043,1984,4877,2051,32740211,27081119,5651506,1425,4373,1788,0
253195324,249433521,3752878,1968,4904,2053,32780765,27128451,5644737,1442,4365,1770,0
253290412,249539828,3741670,1961,4889,2064,32821471,27175464,5638401,1439,4382,1785,0
253385387,249646059,3730420,1954,4898,2056,32862064,27222730,5631682,1438,4405,1809,0
253480503,249752140,3719475,1944,4892,2052,32902631,27269804,5625136,1440,4422,1829,0
253575671,249858154,3708630,1932,4900,2055,32943190,27316868,5618622,1442,4430,1828,0
253670991,249964491,3697603,1934,4923,2040,32983676,27363882,5612108,1464,4424,1798,0
253766301,250070487,3686934,1928,4927,2025,33024174,27410918,5605548,1464,4445,1799,0
253861746,250176659,3676253,1942,4889,2003,33064659,27457737,5599238,1460,4433,1791,0
253957288,250283204,3665262,1954,4877,1991,33105096,27504518,5592907,1471,4421,1779,0
254052769,250389532,3654461,1928,4865,1983,33145542,27551692,5586188,1478,4427,1757,0
254148377,250495952,3643707,1894,4845,1979,33186007,27598711,5579672,1489,4380,1755,0
254244059,250602504,3632922,1867,4792,1974,33226485,27645614,5573270,1479,4379,1743,0
