"IN0","IN1","INall"
"1",34.6484,240.194267515924,57.5842217484009
"2",35.832801531589,244.960402022836,59.1876226760372
"3",36.4273997307607,240.132143197484,59.1947807946536
"4",37.6113453822482,240.10367428256,60.2617586273463
"5",38.7922949973719,249.58018338857,62.3891849788851
"6",38.7773321185282,254.314627647792,62.9253596306128
"7",39.3631682106138,263.749043998205,64.5227360752768
"8",40.5383095958409,258.908195634676,65.0423188520781
"9",41.1285874550789,268.318748108544,66.6424986432039
"10",39.9129159406007,272.984298798246,66.1082094833687
"11",41.0903559505824,277.669292328978,67.7005535976775
"12",41.6781130788671,287.083067704686,69.303613882825
"13",42.8501910661635,296.445563776302,71.421297357998
"14",44.6338024468635,286.951564452825,71.9562274424014
"15",47.0091160035224,282.216438407588,73.5517359822842
"16",48.185550754857,286.882300931957,75.1439363599635
"17",47.5166983575608,300.365385995513,76.0959737264676
"18",48.0465588814675,309.168024881033,77.5840000282012
"19",49.1644763897084,317.895759024445,79.586864306002
"20",47.9000471453248,303.323914590969,76.838650919933
"21",47.8404629711977,307.389480677941,77.2686102871006
"22",50.7431859899787,316.196169874975,80.8641855853428
"23",51.2504934409547,315.601541015286,81.2701668279134
"24",49.9816577797783,319.753540839904,80.6400019122583
"25",49.8970046510448,328.497729449198,81.5839199143827
"26",51.0299223981669,341.857953844255,84.1335986407793
"27",50.9496217002513,308.89621594971,80.3330898425009
"28",49.691596601385,312.958961953478,79.7038224225681
"29",49.0209847787913,326.198885415418,80.6433727799238
"30",50.1359628990646,330.250021490059,82.1182855852938
"31",50.6496367832823,334.324715463108,83.0640914650404
"32",49.9716099603963,347.532629799536,83.9981678093345
"33",48.1100234979773,356.125669823093,83.3595325375916
"34",45.6721062492641,355.511972188109,81.1560454200685
"35",45.6002461389714,350.370397490816,80.5310703129289
"36",43.7495755772544,354.341314172007,79.3747529284208
"37",42.4823585129055,358.321793252477,78.7369185970343
"38",43.0074480806171,366.846925716857,80.2086657974004
"39",43.5249164233739,366.237165046421,80.6245290256332
"40",44.6365700287505,361.115575542732,81.0458907249396
"41",44.5795325038895,365.055471591821,81.4761837844209
"42",46.2745926049647,369.054713425314,83.4646558469509
"43",46.2054974254937,363.88741177608,82.8351376697793
"44",47.3062816034539,372.36594735365,84.8147551035971
"45",48.3957190844957,380.816467999819,86.7832329927391
"46",46.5350175918879,380.204821308159,85.0948511370622
"47",44.6875469365705,379.52848711172,83.4106710386086
"48",44.0310908687867,383.454559651157,83.3125149881659
"49",42.7887123845685,364.813509500742,80.084776527143
"50",45.078028501464,355.140326910172,81.014535879974
"51",44.4204262963911,354.581661385256,80.394358317435
"52",44.3575215973885,340.533448104777,78.7330709161279
"53",45.4715819775769,357.914313348538,81.7623230054052
"54",46.5869447912811,375.210573864094,84.7851529670672
"55",45.9198501605451,361.163724298954,82.5883224255667
"56",46.4454296589986,360.623601922802,83.0155152295776
"57",47.5623246128753,360.151879328427,83.9741865999979
"58",48.6710015122101,346.178384585938,83.3516842167528
"59",47.4311212008533,354.537452245534,83.2573775530702
"60",45.0130388936601,362.850300606541,82.1189425607679
"61",44.3617882983146,362.180349534772,81.492353362593
"62",43.7141579232982,352.759640061073,79.8446050060749
"63",42.4775385476393,347.834166629795,78.2021939917149
"64",44.1844302178898,342.924988289087,79.1608200568725
"65",44.1195801549523,355.626177024482,80.6175764928724
